,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
5-nitroanthranilate degradation,"('regulation of translation', 0.57)","('regulation of translation', 0.57)","('regulation of translation', 0.57)","('regulation of translation', 0.57)","('regulation of translation', 0.57)"
5-oxo-L-proline metabolism,"('oxoacid metabolic process', 0.67)","('proline metabolic process', 0.67)","('4-hydroxyproline metabolic process', 0.6666666666666666)","('4-hydroxyproline metabolic process', 0.6666666666666666)","('4-hydroxyproline metabolic process', 0.6666666666666666)"
6'-dechloromelleolide F biosynthesis,"('rhamnolipid biosynthesis', 0.64)","('tRNA 4-thiouridine biosynthesis', 0.64)","(""2'-deoxyribonucleotide biosynthetic process"", 0.6329113924050633)","(""2'-deoxyribonucleotide biosynthetic process"", 0.6329113924050633)","('chlorophyll a biosynthetic process', 0.61)"
6'-deoxychalcone metabolism,"('chalcone metabolic process', 0.69)","('chalcone metabolic process', 0.69)","('chalcone metabolic process', 0.69)","('deoxyadenosine metabolic process', 0.66)","('deoxyguanosine metabolic process', 0.66)"
"6,7,4'-trihydroxyisoflavone biosynthesis","('4-hydroxyindole-3- carbonyl nitrile biosynthesis', 0.6590909090909091)","('4-hydroxyproline biosynthetic process', 0.6493506493506493)","('4-hydroxyproline biosynthetic process', 0.6493506493506493)","('4-hydroxyproline biosynthetic process', 0.6493506493506493)","('4-hydroxyproline biosynthetic process', 0.6493506493506493)"
6-diazo-5-oxo-L-norleucine biosynthesis,"('D-leucine biosynthetic process', 0.64)","('D-leucine biosynthetic process', 0.64)","('D-leucine biosynthetic process', 0.64)","('L-isoleucine biosynthetic process', 0.6111111111111112)","('L-isoleucine biosynthetic process', 0.6111111111111112)"
6-gingerol analog biosynthesis (engineered),"('sideretin biosynthesis', 0.6)","('indole alkaloid biosynthetic process', 0.5822784810126582)","('indole alkaloid biosynthetic process', 0.5822784810126582)","('epinephrine biosynthetic process', 0.58)","('epinephrine biosynthetic process', 0.58)"
6-gingerol biosynthesis,"('tRNA m2,2-guanine biosynthesis', 0.72)","('sideretin biosynthesis', 0.7111111111111111)","('fraxetin biosynthesis', 0.6818181818181818)","('rhamnolipid biosynthesis', 0.6808510638297872)","('guanine biosynthetic process', 0.67)"
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,"(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6548672566371682)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6548672566371682)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6548672566371682)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6548672566371682)","('chlorophyll a biosynthetic process via phytyl diphosphate', 0.64)"
6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>),"(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5633802816901409)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5633802816901409)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5633802816901409)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5633802816901409)","('chlorophyll a biosynthetic process via phytyl diphosphate', 0.55)"
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),"('chlorophyll a biosynthetic process via phytyl diphosphate', 0.61)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6)"
6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium),"(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5984251968503937)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5984251968503937)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5984251968503937)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.5984251968503937)","('thiamine diphosphate biosynthetic process', 0.59)"
6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>),"('chlorophyll a biosynthetic process via phytyl diphosphate', 0.66)","('phytyl diphosphate biosynthetic process', 0.62)","('phytyl diphosphate biosynthetic process', 0.62)","('phytyl diphosphate biosynthetic process', 0.62)","(""7,8-dihydroneopterin 3'-triphosphate biosynthetic process"", 0.6165413533834586)"
6-methoxymellein biosynthesis,"('fraxetin biosynthesis', 0.68)","('sideretin biosynthesis', 0.67)","('ethylene biosynthetic process', 0.6551724137931034)","('ethylene biosynthetic process', 0.6551724137931034)","('S-methylmethionine biosynthetic process', 0.6470588235294118)"
6-methoxypodophyllotoxin biosynthesis,"('5-methylcytosine biosynthetic process', 0.6216216216216216)","('5-methylcytosine biosynthetic process', 0.6216216216216216)","('5-methylcytosine biosynthetic process', 0.6216216216216216)","('S-methylmethionine biosynthetic process', 0.6052631578947368)","('S-methylmethionine biosynthetic process', 0.6052631578947368)"
6-methylpretetramide biosynthesis,"('trimethylenediamine biosynthetic process', 0.66)","('trimethylenediamine biosynthetic process', 0.66)","('tRNA 4-thiouridine biosynthesis', 0.66)","('sideretin biosynthesis', 0.6545454545454545)","('omega-hydroxyceramide biosynthetic process', 0.64)"
"7,8-dimethylmenaquinone biosynthesis","('menaquinone biosynthetic process', 0.6764705882352942)","('menaquinone biosynthetic process', 0.6764705882352942)","('7-methylguanosine biosynthetic process', 0.6756756756756757)","('7-methylguanosine biosynthetic process', 0.6756756756756757)","('S-methylmethionine biosynthetic process', 0.6666666666666666)"
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,"('4-hydroxyindole-3- carbonyl nitrile biosynthesis', 0.62)","('serine family amino acid biosynthetic process', 0.62)","('serine family amino acid biosynthetic process', 0.62)","('carboxylic acid biosynthetic process', 0.61)","('carboxylic acid biosynthetic process', 0.61)"
7-dehydroporiferasterol biosynthesis,"('dehydroaustinol biosynthetic process', 0.6666666666666666)","('dehydroaustinol biosynthetic process', 0.6666666666666666)","('dehydroaustinol biosynthetic process', 0.6666666666666666)","('dihydrofolate biosynthetic process', 0.66)","('dihydrofolate biosynthetic process', 0.66)"
8-amino-7-oxononanoate biosynthesis I,"('4-amino-3-isothiazolidinone biosynthetic process', 0.611764705882353)","('4-amino-3-isothiazolidinone biosynthetic process', 0.611764705882353)","('4-amino-3-isothiazolidinone biosynthetic process', 0.611764705882353)","('4-amino-3-isothiazolidinone biosynthetic process', 0.611764705882353)","('11-oxo-beta-amyrin biosynthetic process', 0.58)"
8-amino-7-oxononanoate biosynthesis II,"('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('tRNA wobble base lysidine biosynthesis', 0.58)"
8-amino-7-oxononanoate biosynthesis III,"('4-amino-3-isothiazolidinone biosynthetic process', 0.62)","('4-amino-3-isothiazolidinone biosynthetic process', 0.62)","('4-amino-3-isothiazolidinone biosynthetic process', 0.62)","('4-amino-3-isothiazolidinone biosynthetic process', 0.62)","('tRNA 4-thiouridine biosynthesis', 0.57)"
8-amino-7-oxononanoate biosynthesis IV,"('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('4-amino-3-isothiazolidinone biosynthetic process', 0.6046511627906976)","('11-oxo-beta-amyrin biosynthetic process', 0.57)"
8-methylmenaquinone biosynthesis,"('menaquinone biosynthetic process', 0.71875)","('menaquinone biosynthetic process', 0.71875)","('S-methylmethionine biosynthetic process', 0.704225352112676)","('S-methylmethionine biosynthetic process', 0.704225352112676)","('S-methylmethionine biosynthetic process', 0.704225352112676)"
8-<i>O</i>-methylated benzoxazinoid glucoside biosynthesis,"('beta-glucoside biosynthetic process', 0.58)","('beta-glucoside biosynthetic process', 0.58)","('zeaxanthin bis(beta-D-glucoside) biosynthetic process', 0.56)","('zeaxanthin bis(beta-D-glucoside) biosynthetic process', 0.56)","('zeaxanthin bis(beta-D-glucoside) biosynthetic process', 0.56)"
8-<i>O</i>-methylfusarubin biosynthesis,"('7-methylguanosine biosynthetic process', 0.65)","('7-methylguanosine biosynthetic process', 0.65)","('5-methylcytosine biosynthetic process', 0.63)","('5-methylcytosine biosynthetic process', 0.63)","('5-methylcytosine biosynthetic process', 0.63)"
8-oxo-(d)GTP detoxification I,"('detoxification of hydrogen peroxide', 0.6)","('cellular detoxification of hydrogen peroxide', 0.56)","('denitrification pathway', 0.55)","('peptide modification', 0.54)","('N-glycan diversification', 0.54)"
8-oxo-(d)GTP detoxification II,"('detoxification of hydrogen peroxide', 0.59)","('tRNA wobble uridine modification', 0.56)","('cellular detoxification of hydrogen peroxide', 0.55)","('denitrification pathway', 0.54)","('peptide modification', 0.53)"
"9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)","('nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 0.49)","('regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 0.48)","('regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 0.48)","('regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 0.48)","('regulation of cap-dependent translational initiation', 0.47)"
9-decynoate biosynthesis,"('sideretin biosynthesis', 0.7)","('cyanate biosynthetic process', 0.6923076923076923)","('cyanate biosynthetic process', 0.6923076923076923)","('cyanate biosynthetic process', 0.6923076923076923)","('fraxetin biosynthesis', 0.67)"
9-lipoxygenase and 9-allene oxide synthase pathway,"('lipoxygenase pathway', 0.5714285714285714)","('lipoxygenase pathway', 0.5714285714285714)","('epoxygenase P450 pathway', 0.54)","('hercynylcysteine sulfoxide synthase activity', 0.5319148936170213)","('oxidative photosynthetic carbon pathway', 0.52)"
9-lipoxygenase and 9-hydroperoxide lyase pathway,"('lipoxygenase pathway', 0.59)","('lipoxygenase pathway', 0.59)","('omega-hydroxylase P450 pathway', 0.5641025641025641)","('epoxygenase P450 pathway', 0.56)","('cyclooxygenase pathway', 0.54)"
A series fagopyritols biosynthesis,"('phytol biosynthetic process', 0.66)","('phytol biosynthetic process', 0.66)","('phytol biosynthetic process', 0.66)","('phytol biosynthetic process', 0.66)","('orcinol biosynthetic process', 0.65)"
A-factor &gamma;-butyrolactone biosynthesis,"('naphtho-gamma-pyrone biosynthetic process', 0.6190476190476191)","('naphtho-gamma-pyrone biosynthetic process', 0.6190476190476191)","('naphtho-gamma-pyrone biosynthetic process', 0.6190476190476191)","('naphtho-gamma-pyrone biosynthetic process', 0.6190476190476191)","('butyrate biosynthetic process', 0.6)"
ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide,"('Lewis a epitope biosynthetic process', 0.6)","('Lewis a epitope biosynthetic process', 0.6)","('Lewis x epitope biosynthetic process', 0.58)","('disaccharide biosynthetic process', 0.56)","('disaccharide biosynthetic process', 0.56)"
ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide,"('Lewis a epitope biosynthetic process', 0.6)","('Lewis a epitope biosynthetic process', 0.6)","('Lewis x epitope biosynthetic process', 0.58)","('disaccharide biosynthetic process', 0.56)","('disaccharide biosynthetic process', 0.56)"
abietic acid biosynthesis,"('abscisic acid biosynthetic process', 0.75)","('abscisic acid biosynthetic process', 0.75)","('abscisic acid biosynthetic process', 0.75)","('abscisic acid biosynthetic process', 0.75)","('abscisic acid biosynthetic process', 0.75)"
abscisic acid biosynthesis,"('abscisic acid biosynthetic process', 0.8333333333333334)","('abscisic acid biosynthetic process', 0.8333333333333334)","('abscisic acid biosynthetic process', 0.8333333333333334)","('abscisic acid biosynthetic process', 0.8333333333333334)","('abscisic acid biosynthetic process', 0.8333333333333334)"
abscisic acid biosynthesis shunt,"('abscisic acid biosynthetic process', 0.76)","('abscisic acid biosynthetic process', 0.76)","('abscisic acid biosynthetic process', 0.76)","('abscisic acid biosynthetic process', 0.76)","('abscisic acid biosynthetic process', 0.76)"
abscisic acid degradation by glucosylation,"('negative regulation of abscisic acid biosynthetic process', 0.65)","('negative regulation of abscisic acid biosynthetic process', 0.65)","('negative regulation of abscisic acid biosynthetic process', 0.65)","('negative regulation of abscisic acid biosynthetic process', 0.65)","('negative regulation of abscisic acid biosynthetic process', 0.65)"
abscisic acid degradation to 7'-hydroxyabscisate,"('abscisic acid metabolic process', 0.56)","('abscisic acid catabolic process', 0.56)","('abscisic acid catabolic process', 0.56)","('abscisic acid catabolic process', 0.56)","('abscisic acid metabolic process', 0.56)"
abscisic acid degradation to neophaseic acid,"('abscisic acid catabolic process', 0.59)","('abscisic acid catabolic process', 0.59)","('abscisic acid catabolic process', 0.59)","('abscisic acid catabolic process', 0.59)","('abscisic acid catabolic process', 0.59)"
abscisic acid degradation to phaseic acid,"('abscisic acid biosynthetic process', 0.64)","('abscisic acid biosynthetic process', 0.64)","('abscisic acid biosynthetic process', 0.64)","('abscisic acid biosynthetic process', 0.64)","('abscisic acid biosynthetic process', 0.64)"
Ac/N-end rule pathway,"('regulation of ERAD pathway', 0.64)","('regulation of ERAD pathway', 0.64)","('EGAD pathway', 0.61)","('ERAD pathway', 0.61)","('succinyl-CoA pathway', 0.59)"
acacetin biosynthesis,"('fraxetin biosynthesis', 0.8571428571428571)","('sideretin biosynthesis', 0.7906976744186046)","('acetoin biosynthetic process', 0.7346938775510204)","('acetoin biosynthetic process', 0.7346938775510204)","('acetoin biosynthetic process', 0.7346938775510204)"
acetaldehyde biosynthesis I,"('acetaldehyde biosynthetic process', 0.8)","('acetaldehyde biosynthetic process', 0.8)","('aldehyde biosynthetic process', 0.7142857142857143)","('aldehyde biosynthetic process', 0.7142857142857143)","('aldehyde biosynthetic process', 0.7142857142857143)"
acetaldehyde biosynthesis II,"('acetaldehyde biosynthetic process', 0.79)","('acetaldehyde biosynthetic process', 0.79)","('aldehyde biosynthetic process', 0.7017543859649122)","('aldehyde biosynthetic process', 0.7017543859649122)","('aldehyde biosynthetic process', 0.7017543859649122)"
acetan biosynthesis,"('fraxetin biosynthesis', 0.85)","('sideretin biosynthesis', 0.7804878048780488)","('chemosynthesis', 0.73)","('acetate biosynthetic process', 0.723404255319149)","('acetoin biosynthetic process', 0.723404255319149)"
acetate and ATP formation from acetyl-CoA I,"('acetyl-CoA biosynthetic process from acetate', 0.62)","('acetyl-CoA biosynthetic process from acetate', 0.62)","('ethanol-acetate fermentation to butyrate and caproate', 0.6)","('initiation of acetate catabolic process by acetate', 0.58)","('carbon fixation by acetyl-CoA pathway', 0.575)"
acetate and ATP formation from acetyl-CoA II,"('acetyl-CoA biosynthetic process from acetate', 0.61)","('acetyl-CoA biosynthetic process from acetate', 0.61)","('ethanol-acetate fermentation to butyrate and caproate', 0.6)","('initiation of acetate catabolic process by acetate', 0.57)","('carbon fixation by acetyl-CoA pathway', 0.5679012345679012)"
acetate and ATP formation from acetyl-CoA III,"('acetyl-CoA biosynthetic process from acetate', 0.61)","('acetyl-CoA biosynthetic process from acetate', 0.61)","('ethanol-acetate fermentation to butyrate and caproate', 0.59)","('initiation of acetate catabolic process by acetate', 0.57)","('carbon fixation by acetyl-CoA pathway', 0.5609756097560976)"
acetate conversion to acetyl-CoA,"('gene conversion at mating-type locus', 0.6176470588235294)","('gene conversion at mating-type locus', 0.6176470588235294)","('citrate catabolic process to diacetyl', 0.58)","('acetyl-CoA biosynthetic process from acetate', 0.58)","('citrate catabolic process to diacetyl', 0.58)"
acetate formation from acetyl-CoA (succinate),"('carbon fixation by acetyl-CoA pathway', 0.5853658536585366)","('carbon fixation by acetyl-CoA pathway', 0.5853658536585366)","('lactate fermentation to propionate and acetate', 0.58)","('initiation of acetate catabolic process by acetate', 0.58)","('glucose fermentation to lactate and acetate', 0.58)"
acetoacetate degradation (to acetyl CoA),"('negative regulation of histone acetylation', 0.5609756097560976)","('negative regulation of histone acetylation', 0.5609756097560976)","('negative regulation of histone acetylation', 0.5609756097560976)","('negative regulation of histone acetylation', 0.5609756097560976)","('ethanol-acetate fermentation to butyrate and caproate', 0.5591397849462365)"
acetoin degradation,"('cytidine deamination', 0.67)","('peptide amidation', 0.6666666666666666)","('DNA cytosine deamination', 0.6511627906976745)","('actin modification', 0.65)","('DNA integration', 0.65)"
acetone degradation I (to methylglyoxal),"('guanine deglycation, methylglyoxal removal', 0.66)","('guanine deglycation, methylglyoxal removal', 0.66)","('protein deglycation, methylglyoxal removal', 0.63)","('protein deglycation, methylglyoxal removal', 0.63)","('protein deglycation, methylglyoxal removal', 0.63)"
acetone degradation II (to acetoacetate),"('glucose fermentation to lactate and acetate', 0.6024096385542169)","('glucose fermentation to lactate and acetate', 0.6024096385542169)","('lactate fermentation to propionate and acetate', 0.5813953488372093)","('lactate fermentation to propionate and acetate', 0.5813953488372093)","('toluene oxidation to catechol', 0.5507246376811594)"
"acetone degradation III (to propane-1,2-diol)","('lactate fermentation to propionate and acetate', 0.58)","('lactate fermentation to propionate and acetate', 0.58)","('tRNA adenosine deamination to inosine', 0.57)","('pentose catabolic process to propan-2-ol', 0.5647058823529412)","('pentose catabolic process to propan-2-ol', 0.5647058823529412)"
acetyl-CoA biosynthesis from citrate,"('acetyl-CoA biosynthetic process from acetate', 0.825)","('acetyl-CoA biosynthetic process from acetate', 0.825)","('acetyl-CoA biosynthetic process from pyruvate', 0.7901234567901234)","('acetyl-CoA biosynthetic process from pyruvate', 0.7901234567901234)","('acetyl-CoA biosynthetic process', 0.7761194029850746)"
acetyl-CoA fermentation to butanoate,"('acetate fermentation', 0.71)","('acetate fermentation', 0.71)","('ethanol-acetate fermentation to butyrate and caproate', 0.7)","('glycolytic fermentation to butanediol', 0.684931506849315)","('glycolytic fermentation to ethanol', 0.6571428571428571)"
acetylaszonalenin biosynthesis,"('fraxetin biosynthesis', 0.7058823529411765)","('acetylcholine biosynthetic process', 0.69)","('acetylcholine biosynthetic process', 0.69)","('acetylcholine biosynthetic process', 0.69)","('acetoin biosynthetic process', 0.66)"
acetylene degradation (anaerobic),"('anaerobic acetylene catabolic process', 0.71)","('anaerobic acetylene catabolic process', 0.71)","('anaerobic acetylene catabolic process', 0.71)","('anaerobic respiration', 0.65)","('aerobic respiration', 0.6)"
achromobactin biosynthesis,"('achromobactin biosynthetic process', 0.8333333333333334)","('achromobactin biosynthetic process', 0.8333333333333334)","('achromobactin biosynthetic process', 0.8333333333333334)","('achromobactin biosynthetic process', 0.8333333333333334)","('fraxetin biosynthesis', 0.7659574468085106)"
acinetobactin biosynthesis,"('fraxetin biosynthesis', 0.7659574468085106)","('sideretin biosynthesis', 0.75)","('aerobactin biosynthetic process', 0.74)","('aerobactin biosynthetic process', 0.74)","('aerobactin biosynthetic process', 0.74)"
acinetoferrin biosynthesis,"('fraxetin biosynthesis', 0.7659574468085106)","('sideretin biosynthesis', 0.75)","('acetoin biosynthetic process', 0.7037037037037037)","('acetoin biosynthetic process', 0.7037037037037037)","('acetoin biosynthetic process', 0.7037037037037037)"
aclacinomycin biosynthesis,"('lincomycin biosynthetic process', 0.7368421052631579)","('lincomycin biosynthetic process', 0.7368421052631579)","('lincomycin biosynthetic process', 0.7368421052631579)","('lincomycin biosynthetic process', 0.7368421052631579)","('lincomycin biosynthetic process', 0.7368421052631579)"
acridone alkaloid biosynthesis,"('indole alkaloid biosynthetic process', 0.7575757575757576)","('purine alkaloid biosynthetic process', 0.7575757575757576)","('purine alkaloid biosynthetic process', 0.7575757575757576)","('purine alkaloid biosynthetic process', 0.7575757575757576)","('indole alkaloid biosynthetic process', 0.7575757575757576)"
acrylate degradation I,"('acyl deglucuronidation', 0.6818181818181818)","('acetate fermentation', 0.62)","('acetate fermentation', 0.62)","('lactate oxidation', 0.62)","('lactate racemization', 0.62)"
acrylate degradation II,"('acyl deglucuronidation', 0.67)","('acetate fermentation', 0.6046511627906976)","('acetate fermentation', 0.6046511627906976)","('lactate racemization', 0.6046511627906976)","('cytidine deamination', 0.6046511627906976)"
acrylonitrile degradation I,"('acrylonitrile metabolic process', 0.6206896551724138)","('acrylonitrile metabolic process', 0.6206896551724138)","('acrylonitrile catabolic process', 0.6206896551724138)","('acrylonitrile catabolic process', 0.6206896551724138)","('acrylonitrile metabolic process', 0.6206896551724138)"
acrylonitrile degradation II,"('acrylonitrile metabolic process', 0.6101694915254238)","('acrylonitrile metabolic process', 0.6101694915254238)","('acrylonitrile catabolic process', 0.6101694915254238)","('acrylonitrile catabolic process', 0.6101694915254238)","('acrylonitrile metabolic process', 0.6101694915254238)"
actinomycin D biosynthesis,"('fraxetin biosynthesis', 0.723404255319149)","('vancomycin biosynthetic process', 0.7017543859649122)","('vancomycin biosynthetic process', 0.7017543859649122)","('lincomycin biosynthetic process', 0.7017543859649122)","('vancomycin biosynthetic process', 0.7017543859649122)"
actinorhodin biosynthesis,"('actinorhodin biosynthetic process', 0.83)","('actinorhodin biosynthetic process', 0.83)","('fraxetin biosynthesis', 0.7391304347826086)","('sideretin biosynthesis', 0.723404255319149)","('tRNA 4-thiouridine biosynthesis', 0.7142857142857143)"
acyl carrier protein activation,"('protein activation cascade', 0.77)","('activation of protein kinase activity', 0.74)","('activation of protein kinase C activity', 0.74)","('acyl carrier activity', 0.7307692307692307)","('activation of protein kinase A activity', 0.71)"
acyl carrier protein metabolism,"('acyl-CoA metabolic process', 0.74)","('acyl-CoA metabolic process', 0.74)","('acyl-CoA metabolic process', 0.74)","('acyl-CoA metabolic process', 0.74)","('acyl-CoA metabolic process', 0.74)"
acyl-CoA hydrolysis,"('acyl-CoA biosynthetic process', 0.5833333333333334)","('acyl-CoA biosynthetic process', 0.5833333333333334)","('acyl-CoA biosynthetic process', 0.5833333333333334)","('acyl-CoA biosynthetic process', 0.5833333333333334)","('acyl-CoA biosynthetic process', 0.5833333333333334)"
acyl-[acyl-carrier protein] thioesterase pathway,"('holo-[acyl-carrier-protein] biosynthetic process', 0.6458333333333334)","('holo-[acyl-carrier-protein] biosynthetic process', 0.6458333333333334)","('holo-[acyl-carrier-protein] biosynthetic process', 0.6458333333333334)","('N-terminal protein amino acid acetylation', 0.55)","('N-terminal protein amino acid acetylation', 0.55)"
acylated cyanidin galactoside biosynthesis,"('cyanidin 3-O-glucoside biosynthetic process', 0.6823529411764706)","('cyanidin 3-O-glucoside biosynthetic process', 0.6823529411764706)","('cyanidin 3-O-glucoside biosynthetic process', 0.6823529411764706)","('pelargonidin 3-O-glucoside biosynthetic process', 0.6292134831460674)","('pelargonidin 3-O-glucoside biosynthetic process', 0.6292134831460674)"
acylceramide biosynthesis and processing,"('lactosylceramide biosynthetic process', 0.8051948051948052)","('lactosylceramide biosynthetic process', 0.8051948051948052)","('lactosylceramide biosynthetic process', 0.8051948051948052)","('galactosylceramide biosynthetic process', 0.7848101265822784)","('galactosylceramide biosynthetic process', 0.7848101265822784)"
acylsucrose biosynthesis (<i>Solanum habrochaites</i>),"('aurone biosynthetic process', 0.61)","('aurone biosynthetic process', 0.61)","('acylglycerol biosynthetic process', 0.61)","('aurone biosynthetic process', 0.61)","('aurone biosynthetic process', 0.61)"
acylsucrose biosynthesis (<i>Solanum pennellii</i>),"('N-acetylglucosamine biosynthetic process', 0.58)","('acylglycerol biosynthetic process', 0.56)","('acylglycerol biosynthetic process', 0.56)","('acylglycerol biosynthetic process', 0.56)","('D-allose biosynthetic process', 0.56)"
adamantanone degradation,"('adamantanone catabolic process', 0.63)","('adamantanone catabolic process', 0.63)","('adamantanone catabolic process', 0.63)","('adamantanone catabolic process', 0.63)","('guanine deglycation', 0.6046511627906976)"
adenine and adenosine salvage I,"('adenosine salvage', 0.71)","('adenosine salvage', 0.71)","('deoxyinosine salvage', 0.67)","('deoxyinosine salvage', 0.67)","('inosine salvage', 0.6521739130434783)"
adenine and adenosine salvage II,"('adenosine salvage', 0.6938775510204082)","('adenosine salvage', 0.6938775510204082)","('deoxyinosine salvage', 0.6538461538461539)","('deoxyinosine salvage', 0.6538461538461539)","('inosine salvage', 0.64)"
adenine and adenosine salvage III,"('adenosine salvage', 0.68)","('adenosine salvage', 0.68)","('deoxyinosine salvage', 0.6415094339622641)","('deoxyinosine salvage', 0.6415094339622641)","('inosine salvage', 0.625)"
adenine and adenosine salvage V,"('adenosine salvage', 0.71)","('adenosine salvage', 0.71)","('deoxyinosine salvage', 0.67)","('deoxyinosine salvage', 0.67)","('inosine salvage', 0.6521739130434783)"
adenine and adenosine salvage VI,"('adenosine salvage', 0.6938775510204082)","('adenosine salvage', 0.6938775510204082)","('deoxyinosine salvage', 0.6538461538461539)","('deoxyinosine salvage', 0.6538461538461539)","('inosine salvage', 0.64)"
adenine salvage,"('adenine salvage', 1.0)","('adenine salvage', 1.0)","('adenosine salvage', 0.94)","('adenosine salvage', 0.94)","('guanine salvage', 0.87)"
adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP,"('nicotinamide nucleotide biosynthetic process from niacinamide', 0.5826771653543307)","('nicotinamide nucleotide biosynthetic process from niacinamide', 0.5826771653543307)","('phosphatidylcholine biosynthesis from phosphatidylethanolamine', 0.578125)","('ganglioside biosynthetic process via lactosylceramide', 0.5546218487394958)","('galactosylceramide biosynthetic process', 0.5523809523809524)"
adenosine 5'-phosphoramidate biosynthesis,"('diadenosine triphosphate biosynthetic process', 0.7209302325581395)","('diadenosine triphosphate biosynthetic process', 0.7209302325581395)","('diadenosine polyphosphate biosynthetic process', 0.7126436781609196)","('diadenosine polyphosphate biosynthetic process', 0.7126436781609196)","(""3'-phosphoadenosine 5'-phosphosulfate biosynthetic process"", 0.7070707070707071)"
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I,"('pyrimidine deoxyribonucleotide biosynthetic process', 0.67)","('pyrimidine deoxyribonucleotide biosynthetic process', 0.67)","('pyrimidine deoxyribonucleotide biosynthetic process', 0.67)","('purine deoxyribonucleotide biosynthetic process', 0.6542056074766355)","('purine deoxyribonucleotide biosynthetic process', 0.6542056074766355)"
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II,"('pyrimidine deoxyribonucleotide biosynthetic process', 0.66)","('pyrimidine deoxyribonucleotide biosynthetic process', 0.66)","('pyrimidine deoxyribonucleotide biosynthetic process', 0.66)","('purine deoxyribonucleotide biosynthetic process', 0.65)","('purine deoxyribonucleotide biosynthetic process', 0.65)"
adenosine nucleotides degradation I,"('RNA adenosine-uridine insertion', 0.67)","('RNA nucleotide insertion', 0.64)","('RNA dinucleotide insertion', 0.6229508196721312)","('RNA nucleotide deletion', 0.6206896551724138)","('protein nucleotidylation', 0.6101694915254238)"
adenosine nucleotides degradation II,"('RNA adenosine-uridine insertion', 0.66)","('RNA nucleotide insertion', 0.63)","('tRNA adenosine deamination to inosine', 0.63)","('RNA dinucleotide insertion', 0.6129032258064516)","('RNA nucleotide deletion', 0.6101694915254238)"
adenosine nucleotides degradation III,"('RNA adenosine-uridine insertion', 0.65)","('RNA nucleotide insertion', 0.62)","('tRNA adenosine deamination to inosine', 0.62)","('RNA dinucleotide insertion', 0.6031746031746031)","('RNA nucleotide deletion', 0.6)"
adenosine ribonucleotides <i>de novo</i> biosynthesis,"('flavin adenine dinucleotide biosynthetic process', 0.65)","(""2'-deoxyribonucleotide biosynthetic process"", 0.65)","(""2'-deoxyribonucleotide biosynthetic process"", 0.65)","('flavin adenine dinucleotide biosynthetic process', 0.65)","('flavin adenine dinucleotide biosynthetic process', 0.65)"
