Pathways	Object ID
anandamide biosynthesis I	PWY-8051
anandamide biosynthesis II	PWY-8053
anandamide degradation	PWY6666-1
anandamide lipoxygenation	PWY-8056
anditomin biosynthesis	PWY-7599
androgen biosynthesis	PWY66-378
androstenedione degradation I (aerobic)	PWY-6944
androstenedione degradation II (anaerobic)	PWY-8152
anguibactin biosynthesis	PWY-7986
aniline degradation	PWY-6533
ansamitocin P biosynthesis	PWY-8344
ansatrienin biosynthesis	PWY-8040
<i>anteiso</i>-branched-chain fatty acid biosynthesis	PWY-8173
anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)	PWY-7261
anthocyanidin acylglucoside and acylsambubioside biosynthesis	PWY-7679
anthocyanidin modification (<i>Arabidopsis</i>)	PWY-7450
anthocyanidin sambubioside biosynthesis	PWY-7678
anthocyanidin sophoroside metabolism	PWY-5286
anthocyanin biosynthesis	PWY-5125
anthocyanin biosynthesis (delphinidin 3-O-glucoside)	PWY-5153
anthocyanin biosynthesis (pelargonidin 3-<i>O</i>-glucoside)	PWY-7267
anthranilate degradation I (aerobic)	PWY-6079
anthranilate degradation II (aerobic)	PWY-6077
anthranilate degradation III (anaerobic)	2AMINOBENZDEG-PWY
anthranilate degradation IV (aerobic)	PWY-6504
antimycin biosynthesis	PWY-8374
apicidin biosynthesis	PWY-7667
apicidin F biosynthesis	PWY-7668
apigenin glycosides biosynthesis	PWY-6010
apigeninidin 5-<i>O</i>-glucoside biosynthesis	PWY-7253
apratoxin A biosynthesis	PWY-8361
arabidopyrone biosynthesis	PWY-7682
arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	PWY-5353
arachidonate biosynthesis II (bacteria)	PWY-7583
arachidonate biosynthesis III (6-desaturase, mammals)	PWY-7592
arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	PWY-7601
arachidonate biosynthesis V (8-detaturase, mammals)	PWY-7725
arachidonate metabolites biosynthesis	PWY-8397
archaeosine biosynthesis I	PWY-6711
archaeosine biosynthesis II	PWY-7923
archaetidylinositol biosynthesis	PWY-6350
archaetidylserine and archaetidylethanolamine biosynthesis	PWY-6141
arctigenin and isoarctigenin biosynthesis	PWY-7631
Arg/N-end rule pathway (eukaryotic)	PWY-7799
arginine dependent acid resistance	PWY0-1299
arginomycin biosynthesis	PWY-7569
aromatic  glucosinolate activation	PWY-6684
aromatic biogenic amine degradation (bacteria)	PWY-7431
aromatic compounds degradation via &beta;-ketoadipate	PWY-5431
aromatic polyketides biosynthesis	PWY-6316
arsenate detoxification I	PWY-8264
arsenate detoxification II	PWY-8101
arsenate detoxification III	PWY-8263
arsenate detoxification IV (mycothiol)	PWY-6421
arsenate detoxification V	PWY1YI0-1
arsenate reduction (respiratory)	PWY-4601
arsenic detoxification (bacteria)	PWY-4621-1
arsenic detoxification (mammals)	PWY-4202
arsenic detoxification (plants)	PWY-8259
arsenic detoxification (yeast)	PWY-4621
arsenite methylation (bacterial)	PWY-8266
arsenite to oxygen electron transfer	PWY-4521
arsenite to oxygen electron transfer (via azurin)	PWY-7429
arsonoacetate degradation	P482-PWY
artemisinin and arteannuin B biosynthesis	PWY-5195
ascomycin biosynthesis	PWY-8424
ascorbate glutathione cycle	PWY-2261
ascorbate recycling (cytosolic)	PWY-6370
aspartame degradation	PWY-8454
aspartate superpathway	PWY0-781
asperlicin E biosynthesis	PWY-7549
aspirin triggered resolvin D biosynthesis	PWY66-395
aspirin triggered resolvin E biosynthesis	PWY66-394
aspoquinolone biosynthesis	PWY-8388
aspyridone A biosynthesis	PWY-7565
assimilatory sulfate reduction I	SO4ASSIM-PWY
assimilatory sulfate reduction II	SULFMETII-PWY
assimilatory sulfate reduction III	PWY-6683
assimilatory sulfate reduction IV	PWY1ZNC-1
astaxanthin biosynthesis (bacteria, fungi, algae)	PWY-5288
astaxanthin biosynthesis (flowering plants)	PWY-7636
astaxanthin dirhamnoside biosynthesis	PWY-7623
asterrate biosynthesis	PWY-7080
ATP biosynthesis	PWY-7980
atranorin biosynthesis	PWY-8327
atrazine degradation I (aerobic)	P141-PWY
atrazine degradation II	PWY-5727
atrazine degradation III	PWY-5731
atromentin biosynthesis	PWY-7518
aucuparin biosynthesis	PWY-7739
aurachin A, B, C and D biosynthesis	PWY-7407
aurachin RE biosynthesis	PWY-7405
aureobasidin A biosynthesis	PWY-7665
aureothin biosynthesis	PWY-8033
aurofusarin biosynthesis	PWY-7695
aurone biosynthesis	PWY-1901
autoinducer AI-1 biosynthesis	PWY-6157
autoinducer AI-2 biosynthesis I	PWY-6153
autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)	PWY-6154
autoinducer AI-2 degradation	PWY0-1569
autoinducer CAI-1 biosynthesis	PWY-7621
avenacin A-1 biosynthesis	PWY-7473
avenacin A-2 biosynthesis	PWY-7474
avenanthramide biosynthesis	PWY-8157
B series fagopyritols biosynthesis	PWY-5379
bacillibactin biosynthesis	PWY-5903
bacillithiol biosynthesis	PWY8J2-1
bacilysin biosynthesis	PWY-7626
bacimethrin and bacimethrin pyrophosphate biosynthesis	PWY-7564
backdoor pathway of androgen biosynthesis	PWY-8200
bacterial bioluminescence	PWY-7723
bacteriochlorophyll <i>a</i> biosynthesis	PWY-5526
bacteriochlorophyll <i>b</i> biosynthesis	PWY-7762
bacteriochlorophyll <i>c</i> biosynthesis	PWY-7759
bacteriochlorophyll <i>d</i> biosynthesis	PWY-7758
bacteriochlorophyll <i>e</i> biosynthesis	PWY-7760
bacterioruberin biosynthesis	PWY-7944
baicalein degradation (hydrogen peroxide detoxification)	PWY-7214
baicalein metabolism	PWY-7212
baruol biosynthesis	PWY-6008
base-degraded thiamine salvage	PWY-6899
bassianin and desmethylbassianin biosynthesis	PWY-7563
baumannoferrin biosynthesis	PWY-7988
benzene degradation I (aerobic)	PWY-5450
benzene degradation II (aerobic)	PWY-8386
benzene degradation III (anaerobic)	PWY-8376
benzene degradation IV (anaerobic)	PWY-8375
benzenesulfonate degradation	DESULFONATION-PWY
benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7970
benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)	PWY-6443
benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)	PWY-6444
benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	PWY-6446
benzoate degradation I (aerobic)	PWY-2503
benzoate degradation II (aerobic and anaerobic)	PWY-283
benzoate fermentation (to acetate and cyclohexane carboxylate)	PWY-7402
benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	PWY-7468
benzoyl-CoA biosynthesis	PWY-6458
benzoyl-CoA degradation I (aerobic)	PWY-1361
benzoyl-CoA degradation II (anaerobic)	CENTBENZCOA-PWY
benzoyl-CoA degradation III (anaerobic)	P321-PWY
benzoylanthranilate biosynthesis	PWY-6323
berberine biosynthesis	PWY-3901
bergamotene biosynthesis I	PWY-6243
bergamotene biosynthesis II	PWY-6244
&beta; myrcene degradation	PWY-7136
&beta;-(1,4)-mannan degradation	PWY-7456
&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	PWY-7586
&beta;-alanine betaine biosynthesis	PWY-4021
&beta;-alanine biosynthesis I	PWY-3981
&beta;-alanine biosynthesis II	PWY-3941
&beta;-alanine biosynthesis III	PWY-5155
&beta;-alanine biosynthesis IV	PWY-5760
&beta;-alanine degradation I	BETA-ALA-DEGRADATION-I-PWY
&beta;-alanine degradation II	PWY-1781
&beta;-alanine degradation III	PWY-8120
beta-carboline biosynthesis	PWY-5877
&beta;-carotene biosynthesis	PWY-5943
&beta;-carotene biosynthesis (engineered)	PWY-7393
&beta;-caryophyllene biosynthesis	PWY-6275
&beta;-cubebene biosynthesis	PWY-6290
&beta;-D-glucuronide and D-glucuronate degradation	PWY-7247
&beta;-D-mannosyl phosphomycoketide biosynthesis	PWY-7740
&beta;-dihydromenaquinone-9 biosynthesis	PWY-7993
&beta;-pyrazole-1-ylalanine biosynthesis	PWY-4961
betacyanin biosynthesis	PWY-5399
betacyanin biosynthesis (via dopamine)	PWY-5439
betalamic acid biosynthesis	PWY-5394
betanidin degradation	PWY-5461
betaxanthin biosynthesis	PWY-5426
betaxanthin biosynthesis (via dopamine)	PWY-5403
betaxanthin biosynthesis (via dopaxanthin)	PWY-5404
betulinate biosynthesis	PWY-7067
Bifidobacterium shunt	P124-PWY
bikaverin biosynthesis	PWY-7692
bile acid 7&alpha;-dehydroxylation	PWY-7754
bile acid 7&beta;-dehydroxylation	PWY-8134
bile acid biosynthesis, neutral pathway	PWY-6061
bile acids 12-O-epimerization	PWY-8256
bile acids 3-O-epimerization	PWY-8255
bile acids 7-O epimerization	PWY-8254
bile acids deconjugation	PWY-8135
bile acids epimerization	PWY-6518
biochanin A conjugates interconversion	PWY-2861
biosynthesis of Lewis epitopes (H. pylori)	PWY-7833
biotin biosynthesis from 8-amino-7-oxononanoate I	PWY0-1507
biotin biosynthesis from 8-amino-7-oxononanoate II	PWY-7380
biotin biosynthesis from 8-amino-7-oxononanoate III	PWY-8128
biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY
biotin biosynthesis II	PWY-5005
biotin-carboxyl carrier protein assembly	PWY0-1264
biphenyl degradation	PWY5F9-12
bis(guanylyl molybdenum cofactor) biosynthesis	PWY-7639
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	PWY-8164
<i>bis</i>(guanylyl tungstenpterin) cofactor biosynthesis	PWY-8168
<i>bis</i>(tungstenpterin) cofactor biosynthesis	PWY-8167
bisabolene biosynthesis (engineered)	PWY-7102
bisbenzylisoquinoline alkaloid biosynthesis	PWY-5472
bisphenol A degradation	PWY-7757
bisucaberin biosynthesis	PWY-6381
bixin biosynthesis	PWY-5305
blasticidin S biosynthesis	PWY-7570
blood coagulation - tissue factor pathway	PWY66-432
bombykol biosynthesis	PWY-7423
bornyl diphosphate biosynthesis	PWY-5813
botrydial biosynthesis	PWY-6278
botryococcenes and methylated squalene biosynthesis	PWY-6105
branched-chain polyamines biosynthesis	PWY-8114
brassicicene C biosynthesis	PWY-7517
brassinolide biosynthesis I	PWY-699
brassinolide biosynthesis II	PWY-2582
brassinosteroids inactivation	PWY-6546
brominated pyrroles biosynthesis	PWY-7931
<i>Brucella abortus</i> lipopolysaccharide biosynthesis (final steps)	PWY2B4Q-9
<i>Brucella abortus</i> O antigen biosynthesis	PWY2B4Q-3
bryostatin biosynthesis	PWY-8047
bupropion degradation	PWY66-241
butachlor degradation	PWY-7771
butane degradation	PWY-7780
butanol and isobutanol biosynthesis (engineered)	PWY-7396
butirosin biosynthesis	PWY-7019
C20 prostanoid biosynthesis	PWY66-374
C<sub>20,20</sub> CDP-archaeol biosynthesis	PWY-6349
C<sub>25,25</sub> CDP-archaeol biosynthesis	PWY-8365
C4 photosynthetic carbon assimilation cycle, NAD-ME type	PWY-7115
C4 photosynthetic carbon assimilation cycle, NADP-ME type	PWY-241
C4 photosynthetic carbon assimilation cycle, PEPCK type	PWY-7117
cadaverine biosynthesis	PWY0-1601
caffeine biosynthesis I	PWY-5037
caffeine biosynthesis II (via paraxanthine)	PWY-5038
caffeine degradation I (main, plants)	PWY-6552
caffeine degradation II	PWY-6553
caffeine degradation III (bacteria, via demethylation)	PWY-6538
caffeine degradation IV (bacteria, via demethylation and oxidation)	PWY-6632
caffeine degradation V (bacteria, via trimethylurate)	PWY-6633
caffeoylglucarate biosynthesis	PWY-6673
calendate biosynthesis	PWY-5373
calonectrin biosynthesis	PWY-7711
Calvin-Benson-Bassham cycle	CALVIN-PWY
calycosin 7-<i>O</i>-glucoside biosynthesis	PWY-7633
calystegine biosynthesis	PWY-5318
camalexin biosynthesis	CAMALEXIN-SYN
camptothecin biosynthesis	PWY-6326
canavanine biosynthesis	PWY-5
candicidin biosynthesis	PWY-6722
cannabinoid biosynthesis	PWY-5140
canthaxanthin biosynthesis	PWY-5291
capsaicin biosynthesis	PWY-5710
capsanthin and capsorubin biosynthesis	PWY-5174
capsiconiate biosynthesis	PWY-6027
capsidiol biosynthesis	PWY-2921
carbaryl degradation	PWY-8111
carbazole degradation	PWY-6550
carbofuran degradation I	PWY-8286
carbofuran degradation II	PWY-8287
carbofuran degradation III	PWY-8288
carbon disulfide oxidation I (anaerobic)	PWY-1164
carbon disulfide oxidation II (aerobic)	PWY-5336
carbon disulfide oxidation III (metazoa)	PWY-7926
carbon monoxide oxidation to CO<sub>2</sub>	PWY-7750
carbon tetrachloride degradation I	PWY-5370
carbon tetrachloride degradation II	PWY-5372
cardenolide glucosides biosynthesis	PWY-6036
cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	PWY-7509
cardiolipin biosynthesis I	PWY-5668
cardiolipin biosynthesis II	PWY-5269
cardiolipin biosynthesis III	PWY0-1545
carminate biosynthesis	PWY-8447
carminate degradation	PWY-8446
carnosate bioynthesis	PWY-7680
carnosine biosynthesis	PWY66-420
carotenoid cleavage	PWY-6806
carrageenan biosynthesis	PWY-6403
casbene biosynthesis	PWY-6304
catechol degradation I (<I>meta</I>-cleavage pathway)	PWY-5415
catechol degradation II (<I>meta</I>-cleavage pathway)	PWY-5420
catechol degradation III (ortho-cleavage pathway)	PWY-5417
catechol degradation to 2-hydroxypentadienoate I	P183-PWY
catechol degradation to 2-hydroxypentadienoate II	PWY-5419
catechol degradation to &beta;-ketoadipate	CATECHOL-ORTHO-CLEAVAGE-PWY
catecholamine biosynthesis	PWY66-301
CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis	PWY-5833
CDP-6-deoxy-D-gulose biosynthesis	PWY-8139
CDP-abequose biosynthesis	PWY-5831
CDP-ascarylose biosynthesis	PWY-5830
CDP-D-arabitol biosynthesis	PWY-6998
CDP-D-mannitol biosynthesis	PWY-7127
CDP-diacylglycerol biosynthesis I	PWY-5667
CDP-diacylglycerol biosynthesis II	PWY0-1319
CDP-diacylglycerol biosynthesis III	PWY-5981
CDP-paratose biosynthesis	PWY-5832
CDP-ribitol biosynthesis	PWY-8416
CDP-tyvelose biosynthesis	PWY-5834
cell-surface glycoconjugate-linked phosphocholine biosynthesis	PWY-7886
cell-surface glycoconjugate-linked phosphonate biosynthesis	PWY-8129
cellulose and hemicellulose degradation (cellulolosome)	PWY-6784
cellulose biosynthesis	PWY-1001
cellulose degradation I (cellulosome)	PWY-6805
cellulose degradation II (fungi)	PWY-6788
cembratrienediol biosynthesis	PWY18C3-7
cephalosporin C biosynthesis	PWY-5632
cephamycin C biosynthesis	PWY-5633
ceramide and sphingolipid recycling and degradation (yeast)	PWY-7119
ceramide <i>de novo</i> biosynthesis	PWY3DJ-12
ceramide degradation (generic)	PWY-6483
ceramide degradation by &alpha;-oxidation	PWY66-388
ceramide phosphoethanolamine biosynthesis	PWY-7404
chaetoglobosin A biosynthesis	PWY-7612
chalcone 2'-<i>O</i>-glucoside biosynthesis	PWY-5339
chanoclavine I aldehyde biosynthesis	PWY-6493
chaxamycin biosynthesis	PWY-8036
chelerythrine biosynthesis	PWY-7507
chitin biosynthesis	PWY-6981
chitin deacetylation	PWY-7118
chitin degradation I (archaea)	PWY-6855
chitin degradation II (Vibrio)	PWY-6902
chitin degradation III (Serratia)	PWY-7822
chitin derivatives degradation	PWY-6906
chitobiose degradation	PWY0-1309
chloramphenicol biosynthesis	PWY-8032
chlorate reduction	PWY-6529
chlorinated phenols degradation	PWY-6197
chlorobactene biosynthesis	PWY-7939
chlorobenzene degradation	PWY-6083
chlorogenic acid biosynthesis I	PWY-6039
chlorogenic acid biosynthesis II	PWY-6040
chlorogenic acid degradation	PWY-6781
chlorophyll <i>a</i> biosynthesis I	PWY-5086
chlorophyll <i>a</i> biosynthesis II	PWY-5064
chlorophyll <i>a</i> biosynthesis III	PWY-7764
chlorophyll <i>a</i> degradation I	PWY-5098
chlorophyll <i>a</i> degradation II	PWY-6927
chlorophyll <i>a</i> degradation III	PWY-7164
chlorophyll <i>a</i><sub>2</sub> biosynthesis	PWY-8126
chlorophyll <i>b</i><sub>2</sub> biosynthesis	PWY-8127
chlorophyll cycle	PWY-5068
chlorosalicylate degradation	PWY-6107
chlorotetracycline biosynthesis	PWY-7810
chlorpyrifos degradation	PWY-8065
chlorzoxazone degradation	PWY-7823
cholesterol biosynthesis (algae, late side-chain reductase)	PWY-8191
cholesterol biosynthesis (diatoms)	PWY-8239
cholesterol biosynthesis (plants, early side-chain reductase)	PWY18C3-1
cholesterol biosynthesis I	PWY66-341
cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	PWY66-3
cholesterol biosynthesis III (via desmosterol)	PWY66-4
cholesterol degradation to androstenedione I (cholesterol oxidase)	PWY-6945
cholesterol degradation to androstenedione II (cholesterol dehydrogenase)	PWY-6946
cholesterol degradation to androstenedione III (anaerobic)	PWY-8151
choline biosynthesis I	PWY-3385
choline biosynthesis II	PWY-3542
choline biosynthesis III	PWY-3561
choline degradation I	CHOLINE-BETAINE-ANA-PWY
choline degradation II	PWY-3721
choline degradation III	PWY-7167
choline degradation IV	PWY-7494
choline-<i>O</i>-sulfate degradation	P542-PWY
chondroitin biosynthesis	PWY-6566
chondroitin sulfate biosynthesis	PWY-6567
chondroitin sulfate degradation (metazoa)	PWY-6573
chondroitin sulfate degradation I (bacterial)	PWY-6572
chorismate biosynthesis from 3-dehydroquinate	PWY-6163
chorismate biosynthesis I	ARO-PWY
chorismate biosynthesis II (archaea)	PWY-6165
chrysin biosynthesis	PWY-5363
chrysoeriol biosynthesis	PWY-6232
cichoriin interconversion	PWY-7057
cinchona alkaloids biosynthesis	PWY-5848
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	PWY-6690
cinnamate esters biosynthesis	PWY-5968
cinnamoyl-CoA biosynthesis	PWY-6457
<i>cis</i>-abienol biosynthesis	PWY18C3-13
<i>cis</i>-alkene biosynthesis	PWY-7869
cis-calamenene related sesquiterpenoids biosynthesis	PWY-6128
<i>cis</i>-cyclopropane fatty acid (CFA) biosynthesis	PWY0-541
<i>cis</i>-geranyl-CoA degradation	PWY-6672
<i>cis</i>-vaccenate biosynthesis	PWY-5973
<i>cis</i>-zeatin biosynthesis	PWY-2781
citrate degradation	PWY-6038
citrate lyase activation	P2-PWY
citreoisocoumarin and bikisocoumarin biosynthesis	PWY-7696
citronellol degradation	PWY-6670
clavulanate biosynthesis	PWY-5679
clorobiocin biosynthesis	PWY-8368
CMP phosphorylation	PWY-7205
CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis	PWY-6140
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-1269
CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-7674
CMP-diacetamido-8-epilegionaminic acid biosynthesis	PWY-7719
CMP-legionaminate biosynthesis I	PWY-6749
CMP-legionaminate biosynthesis II	PWY-7131
CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis	PWY-7529
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138
CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	PWY-6139
CMP-<i>N</i>-glycoloylneuraminate biosynthesis	PWY-6144
CMP-pseudaminate biosynthesis	PWY-6143
CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	PWYQT-4429
cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	PWY-7377
cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	PWY-7376
cobalamin salvage (eukaryotic)	PWY-7974
cocaine biosynthesis	PWY-5843
coelimycin P1 biosynthesis	PWY-7880
coenzyme A biosynthesis I (bacteria)	COA-PWY
coenzyme A biosynthesis II (eukaryotic)	PWY-7851
coenzyme A biosynthesis III (archaea)	PWY-8342
coenzyme B biosynthesis	P241-PWY
coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)	PWY-5207
coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)	PWY-7865
coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent)	PWY-7866
coenzyme B/coenzyme M regeneration IV (H<sub>2</sub>-dependent)	PWY-7867
coenzyme B/coenzyme M regeneration V (formate-dependent)	PWY-7868
coenzyme M biosynthesis I	P261-PWY
coenzyme M biosynthesis II	PWY-6643
colanic acid (<i>Escherichia coli</i> K12) biosynthesis	PWY-8243
colanic acid building blocks biosynthesis	COLANSYN-PWY
colchicine biosynthesis	PWY-5846
colibactin biosynthesis	PWY-8117
colupulone and cohumulone biosynthesis	PWY-5133
complex <i>N</i>-linked glycan biosynthesis (plants)	PWY-7920
complex <i>N</i>-linked glycan biosynthesis (vertebrates)	PWY-7426
coniferin metabolism	PWY-116
coniferyl alcohol 9-methyl ether biosynthesis	PWY-7643
conversion of succinate to propanoate	PWY0-43
coptisine biosynthesis	PWY-8030
coral bioluminescence	PWY-7914
corallopyronin A biosynthesis	PWY-8438
cornusiin E biosynthesis	PWY-5476
costunolide biosynthesis	PWY-6540
coumarin biosynthesis (via 2-coumarate)	PWY-5176
coumarin metabolism (to melilotic acid)	PWY-5319
coumarins biosynthesis (engineered)	PWY-7398
coumestrol biosynthesis	PWY-6332
creatine biosynthesis	GLYCGREAT-PWY
creatine phosphate biosynthesis	PWY-6158
creatinine degradation I	CRNFORCAT-PWY
creatinine degradation II	PWY-4722
creatinine degradation III	PWY-4741
cremeomycin biosynthesis	PWY-8296
crepenynate biosynthesis	PWY-6013
crocetin biosynthesis	PWY-5397
crocetin esters biosynthesis	PWY-5398
crotonate fermentation (to acetate and cyclohexane carboxylate)	PWY-7401
crotonosine biosynthesis	PWY-8100
crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	PWY-7854
cucurbitacin biosynthesis	PWY-8434
curacin A biosynthesis	PWY-8358
curcumene biosynthesis	PWY-6257
curcumin degradation	PWY0-1527
curcumin glucoside biosynthesis	PWY-4421
curcuminoid biosynthesis	PWY-6432
cuticular wax biosynthesis	PWY-282
cutin biosynthesis	PWY-321
cyanate degradation	CYANCAT-PWY
cyanide degradation	P401-PWY
cyanide detoxification I	ASPSYNII-PWY
cyanide detoxification II	PWY-7142
cyanidin 3,7-diglucoside polyacylation biosynthesis	PWY-7464
cyanidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7256
cyanidin dimalonylglucoside biosynthesis	PWY-7452
cyanophycin metabolism	PWY-7052
cyanuric acid degradation I	PWY-8025
cyanuric acid degradation II	PWY-5169
cyathin biosynthesis	PWY-8409
cyclic 2,3-bisphosphoglycerate biosynthesis	PWY-8098
cyclic electron flow	PWY-8270
cycloartenol biosynthesis	PWY-8028
cyclobis-(1&rarr;6)-&alpha;-nigerosyl biosynthesis	PWY-8317
cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation	PWY-7828
cyclohexane-1-carboxyl-CoA biosynthesis	PWY-8044
cyclohexane-1-carboxylate degradation (anaerobic)	PWY-301
cyclohexanol degradation	CYCLOHEXANOL-OXIDATION-PWY
cyclooctatin biosynthesis	PWY-7482
cyclosporin A biosynthesis	PWY-8443
cylindrospermopsin biosynthesis	PWY-8045
cytidine-5'-diphosphate-glycerol biosynthesis	PWY-6626
cytidylyl copper-molybdenum cofactor biosynthesis	PWY-8163
cytidylyl molybdenum cofactor biosynthesis	PWY-6476
cytidylyl molybdenum cofactor sulfurylation	PWY-8165
cytochrome <i>c</i> biogenesis (system I type)	PWY-8147
cytochrome <i>c</i> biogenesis (system II type)	PWY-8146
cytochrome <i>c</i> biogenesis (system III type)	PWY-8145
cytokinin-<i>O</i>-glucosides biosynthesis	PWY-2902
cytokinins 7-<i>N</i>-glucoside biosynthesis	PWY-2881
cytokinins 9-<i>N</i>-glucoside biosynthesis	PWY-2901
cytokinins degradation	PWY-2841
cytosolic NADPH production (yeast)	PWY-7268
D-alanine degradation	PWY-8448
D-allose degradation	PWY0-44
D-altritol and galactitol degradation	PWY-7862
D-apionate degradation I (xylose isomerase family decarboxylase)	PWY-8091
D-apionate degradation II (RLP decarboxylase)	PWY-8090
D-apionate degradation III (RLP transcarboxylase/hydrolase)	PWY-8092
D-apiose degradation I	PWY-8089
D-apiose degradation II (to D-apionate)	PWY-8093
D-arabinitol degradation I	DARABITOLUTIL-PWY
D-arabinitol degradation II	PWY-8392
D-arabinose degradation I	DARABCAT-PWY
D-arabinose degradation II	DARABCATK12-PWY
D-arabinose degradation III	PWY-5519
D-arabinose degradation IV	PWY-8331
D-arabinose degradation V	PWY-8334
D-arginine degradation	PWY-6422
D-carnitine degradation I	PWY-7471
D-carnitine degradation II	PWY-7472
D-cycloserine biosynthesis	PWY-7274
D-cycloserine inhibition of pyridoxal 5'-phosphate	PWY-8300
D-erythronate degradation I	PWY-7872
D-erythronate degradation II	PWY-7873
D-fructuronate degradation	PWY-7242
D-galactarate degradation I	GALACTARDEG-PWY
D-galactarate degradation II	PWY-6497
D-galactonate degradation	GALACTCAT-PWY
D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	PWY-7395
D-galactose degradation I (Leloir pathway)	PWY-6317
D-galactose degradation II	GALDEG-PWY
D-galactose degradation IV	PWY-6693
D-galactose detoxification	PWY-3821
D-galacturonate degradation I	GALACTUROCAT-PWY
D-galacturonate degradation II	PWY-6486
D-galacturonate degradation III	PWY-8391
D-galacturonate degradation IV	PWY-6491
<i>D</i>-glucarate degradation I	GLUCARDEG-PWY
D-glucarate degradation II	PWY-6499
D-gluconate degradation	GLUCONSUPER-PWY
D-glucosaminate degradation	PWY-7310
D-glucuronate degradation I	PWY-5525
D-glucuronate degradation II	PWY-6501
D-glucuronate degradation III	PWY-8390
D-glutamate degradation	PWY-8453
D-gulosides conversion to D-glucosides	PWY0-1602
D-lactate to cytochrome <i>bo</i> oxidase electron transfer	PWY0-1565
D-malate degradation	PWY0-1465
D-mannose degradation I	MANNCAT-PWY
D-mannose degradation II	PWY3O-1743
D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	PWY-6364
D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	PWY-6351
D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	PWY-6363
D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	PWY-6366
D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	PWY-6365
D-<i>myo</i>-inositol-5-phosphate metabolism	PWY-6367
D-phenylglycine degradation	PWY-8161
D-serine degradation	PWY0-1535
D-sorbitol biosynthesis I	PWY-5054
D-sorbitol degradation I	PWY-4101
D-sorbitol degradation II	SORBDEG-PWY
D-tagatose degradation	PWY-8324
D-threitol degradation	PWY-7786
D-threonate degradation	PWY-7871
D-xylose degradation I	XYLCAT-PWY
D-xylose degradation II	PWY-5516
D-xylose degradation III	PWY-6760
D-xylose degradation IV	PWY-7294
D-xylose degradation to ethylene glycol (engineered)	PWY-7178
D-xylose degradation V	PWY-8020
D-xylose degradation VI	PWY-8330
daidzein conjugates interconversion	PWY-2343
daidzin and daidzein degradation	PWY-6996
dalcochinin biosynthesis	PWY-5821
dalpatein and dalnigrein biosynthesis	PWY-5825
dammara-20,24-diene biosynthesis	PWY-6095
dapdiamides biosynthesis	PWY-7706
daphnetin modification	PWY-7055
daphnin interconversion	PWY-7056
daunorubicin biosynthesis	PWY-7352
daurichromenate biosynthesis	PWY-8084
deacetylcephalosporin C biosynthesis	PWY-5631
decaprenoxanthin diglucoside biosynthesis	PWY18HP-2
dechlorogriseofulvin biosynthesis	PWY-7655
deethylsimazine degradation	PWY-5726
dehydro-D-arabinono-1,4-lactone biosynthesis	PWY3O-6
dehydroabietic acid biosynthesis	PWY-5421
dehydrophos biosynthesis	PWY-6682
