,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Benzoxazinoid biosynthesis,"('5-deoxystrigol biosynthesis', 1.000000012400352)","('6-methoxypodophyllotoxin biosynthesis', 1.000000012400352)","('dhurrin biosynthesis', 1.000000012400352)","('echinatin biosynthesis', 1.000000012400352)","('leucodelphinidin biosynthesis', 1.000000012400352)"
Penicillin and cephalosporin biosynthesis,"('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.9216986056436524)","('rosamicin biosynthesis', 0.8309465858383107)","('cephalosporin C biosynthesis', 0.8226684391423115)","('cephamycin C biosynthesis', 0.8226684391423115)","('fosfomycin biosynthesis', 0.8187192948379973)"
Carbapenem biosynthesis,"('sulfazecin biosynthesis', 0.9107276375824254)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.8725072674262089)","('fosfomycin biosynthesis', 0.8688061551433074)","('megalomicin A biosynthesis', 0.8512988581827903)","('rosamicin biosynthesis', 0.8295908021150563)"
Monobactam biosynthesis,"('sulfazecin biosynthesis', 0.8373109029178978)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.8026043993929654)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.7869728130939412)","('megalomicin A biosynthesis', 0.7855692947203464)","('rifamycin B biosynthesis', 0.7830184609572877)"
Clavulanic acid biosynthesis,"('abietic acid biosynthesis', 0.848504464108329)","('betalamic acid biosynthesis', 0.848504464108329)","('dehydroabietic acid biosynthesis', 0.848504464108329)","('isopimaric acid biosynthesis', 0.848504464108329)","('neoabietic acid biosynthesis', 0.848504464108329)"
Streptomycin biosynthesis,"('streptomycin biosynthesis', 0.8770055354352458)","('gentamicin biosynthesis', 0.8253046395445223)","('penicillin K biosynthesis', 0.785630824432665)","('kanamycin biosynthesis', 0.7851774366847404)","('chloramphenicol biosynthesis', 0.7825320237600397)"
"Neomycin, kanamycin and gentamicin biosynthesis","('kanamycin biosynthesis', 0.9158861706846995)","('tetracycline and oxytetracycline biosynthesis', 0.8659388476359721)","('chloramphenicol biosynthesis', 0.8410842524835024)","('gentamicin biosynthesis', 0.8401984780877381)","('neomycin biosynthesis', 0.8125315268933605)"
Acarbose and validamycin biosynthesis,"('validamycin biosynthesis', 0.8765919292655997)","('superpathway of scopolin and esculin biosynthesis', 0.7710431273850371)","('lovastatin biosynthesis', 0.7704775701820606)","('salicin biosynthesis', 0.7644693279602075)","('xylan biosynthesis', 0.758823191555652)"
Novobiocin biosynthesis,"('canavanine biosynthesis', 0.9999999803585319)","('clorobiocin biosynthesis', 0.9999999803585319)","('indolmycin biosynthesis', 0.9999999803585319)","('novobiocin biosynthesis', 0.9999999803585319)","('streptovaricin biosynthesis', 0.9999999803585319)"
Staurosporine biosynthesis,"('K-252 biosynthesis', 1.0000000094383998)","('staurosporine biosynthesis', 1.0000000094383998)","('lacinilene C biosynthesis', 0.9063583695930786)","('chelerythrine biosynthesis', 0.8705642718033111)","('sangivamycin biosynthesis', 0.8619016123272893)"
Phenazine biosynthesis,"('2-hydroxyphenazine biosynthesis', 0.8050512919055368)","('juglone biosynthesis', 0.8031282329183353)","('lawsone biosynthesis', 0.7865132650895087)","('guaiacol biosynthesis', 0.7850732864478187)","('(+)-camphor biosynthesis', 0.7808429631788657)"
Prodigiosin biosynthesis,"('holomycin biosynthesis', 0.8774763443983754)","('terpentecin biosynthesis', 0.8774763443983754)","('acetan biosynthesis', 0.800864533919771)","('succinoglycan biosynthesis', 0.800864533919771)","('achromobactin biosynthesis', 0.7617926344626832)"
Aflatoxin biosynthesis,"('sterigmatocystin biosynthesis', 1.0000000003130058)","('patulin biosynthesis', 0.9034637159667707)","('superpathway of aflatoxin biosynthesis', 0.9002811441520321)","('roquefortine C biosynthesis', 0.8231363510935112)","('ochratoxin A biosynthesis', 0.8008862412850125)"
Biosynthesis of various antibiotics,"('FR-900098 and FR-33289 antibiotics biosynthesis', 0.7056393954484649)","('sulfazecin biosynthesis', 0.6549618639227188)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.6119126187786837)","('gentamicin biosynthesis', 0.6102918631503466)","('rifamycin B biosynthesis', 0.6094556265616117)"
Biosynthesis of various plant secondary metabolites,"('di-homo-&gamma;-linolenate metabolites biosynthesis', 0.7254183776866641)","('icosapentaenoate metabolites biosynthesis', 0.7254183776866641)","('DIMBOA-glucoside biosynthesis', 0.6795190904229138)","('gramine biosynthesis', 0.6795190904229138)","('peramine biosynthesis', 0.6795190904229138)"
Biosynthesis of various other secondary metabolites,"('di-homo-&gamma;-linolenate metabolites biosynthesis', 0.699604098886438)","('icosapentaenoate metabolites biosynthesis', 0.699604098886438)","('superpathway of flavones and derivatives biosynthesis', 0.6311803019006126)","('arachidonate metabolites biosynthesis', 0.6307796208415115)","('thalianol and derivatives biosynthesis', 0.6268518742063948)"
Benzoate degradation,"('acetoin degradation', 0.7826063483560881)","('citrate degradation', 0.7525205638363243)","('glutarate degradation', 0.7365130127062643)","('cyanate degradation', 0.7362976454207659)","('fluoroacetate degradation', 0.7362976454207659)"
Aminobenzoate degradation,"('(1,3)-&beta;-D-xylan degradation', 0.9999999775895091)","('(1,4)-&beta;-D-xylan degradation', 0.9999999775895091)","('(2-trimethylamino)ethylphosphonate degradation', 0.9999999775895091)","('(aminomethyl)phosphonate degradation', 0.9999999775895091)","('2,5-dichlorotoluene degradation', 0.9999999775895091)"
Fluorobenzoate degradation,"('(1,3)-&beta;-D-xylan degradation', 0.9999999775895091)","('(1,4)-&beta;-D-xylan degradation', 0.9999999775895091)","('(2-trimethylamino)ethylphosphonate degradation', 0.9999999775895091)","('(aminomethyl)phosphonate degradation', 0.9999999775895091)","('2,5-dichlorotoluene degradation', 0.9999999775895091)"
Chloroalkane and chloroalkene degradation,"('chlorinated phenols degradation', 0.8967949530573031)","('3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation', 0.872564044631436)","('2-nitrophenol degradation', 0.8442974526723517)","('2-nitrotoluene degradation', 0.8442974526723517)","('4-nitrobenzoate degradation', 0.8442974526723517)"
Chlorocyclohexane and chlorobenzene degradation,"('1,2-dichlorobenzene degradation', 0.9700358952653436)","('1,2-dichloroethane degradation', 0.9700358952653436)","('chlorobenzene degradation', 0.9700358952653436)","('toluene degradation to 4-methylphenol', 0.889424738901888)","('1-chloro-2-nitrobenzene degradation', 0.8774161048892244)"
Toluene degradation,"('1,2-dichlorobenzene degradation', 0.9999998977775387)","('1,2-dichloroethane degradation', 0.9999998977775387)","('chlorobenzene degradation', 0.9999998977775387)","('toluene degradation to 4-methylphenol', 0.9012444331569597)","('1-chloro-2-nitrobenzene degradation', 0.9008925567022362)"
Xylene degradation,"('methylsalicylate degradation', 0.7835550590838336)","('methylsalicylate degradation', 0.7835550590838336)","('1,2-dichlorobenzene degradation', 0.7222168131717153)","('1,2-dichloroethane degradation', 0.7222168131717153)","('chlorobenzene degradation', 0.7222168131717153)"
Nitrotoluene degradation,"('3-phenylpropanoate degradation', 0.999999977149063)","('4-chloro-2-methylphenoxyacetate degradation', 0.999999977149063)","('4-hydroxyacetophenone degradation', 0.999999977149063)","('orcinol degradation', 0.999999977149063)","('phenylethanol degradation', 0.999999977149063)"
Ethylbenzene degradation,"('1,2-dichlorobenzene degradation', 0.9999998977775387)","('1,2-dichloroethane degradation', 0.9999998977775387)","('chlorobenzene degradation', 0.9999998977775387)","('toluene degradation to 4-methylphenol', 0.9012444331569597)","('1-chloro-2-nitrobenzene degradation', 0.9008925567022362)"
Styrene degradation,"('styrene degradation', 1.0000000238750404)","('1,2-dichlorobenzene degradation', 0.8912532183814891)","('1,2-dichloroethane degradation', 0.8912532183814891)","('chlorobenzene degradation', 0.8912532183814891)","('2-nitrophenol degradation', 0.8758870617162416)"
Atrazine degradation,"('butachlor degradation', 0.999999985187995)","('linuron degradation', 0.999999985187995)","('3,5,6-trichloro-2-pyridinol degradation', 0.8869122834008047)","('carbaryl degradation', 0.8869122834008047)","('chlorpyrifos degradation', 0.8842981671397413)"
Caprolactam degradation,"('pinoresinol degradation', 0.6432730338081223)","('dhurrin degradation', 0.6399128697551407)","('linamarin degradation', 0.6399128697551407)","('lotaustralin degradation', 0.6399128697551407)","('ricinine degradation', 0.6399128697551407)"
Bisphenol degradation,"('bisphenol A degradation', 0.9294949138020525)","('2,4,6-trichlorophenol degradation', 0.7506321489973368)","('2,6-dinitrotoluene degradation', 0.7506321489973368)","('pentachlorophenol degradation', 0.7506321489973368)","('biphenyl degradation', 0.7310461284024746)"
Dioxin degradation,"('butachlor degradation', 0.8302419395565676)","('linuron degradation', 0.8302419395565676)","('1,4-dichlorobenzene degradation', 0.8210931394407922)","('tetrachloroethene degradation', 0.8210931394407922)","('chlorpyrifos degradation', 0.8173709300709336)"
Naphthalene degradation,"('2-nitrophenol degradation', 1.0000000336748431)","('2-nitrotoluene degradation', 1.0000000336748431)","('4-nitrobenzoate degradation', 1.0000000336748431)","('1,2,4-trichlorobenzene degradation', 0.9037983720493366)","('1,3-dimethylbenzene degradation to 3-methylbenzoate', 0.8982016133723442)"
Polycyclic aromatic hydrocarbon degradation,"('methoxylated aromatic compound degradation II', 0.8320827340791794)","('chlorinated phenols degradation', 0.8301386219314995)","('methoxylated aromatic compound degradation I', 0.8217462679579878)","('methanogenesis from methoxylated aromatic compounds', 0.7936159898085785)","('2-nitrophenol degradation', 0.7810836656057863)"
Furfural degradation,"('2-chlorobenzoate degradation', 1.000000018530602)","('5-hydroxymethylfurfural degradation', 1.000000018530602)","('furfural degradation', 1.000000018530602)","('L-homophenylalanine biosynthesis', 0.8606111857289723)","('sodorifen biosynthesis', 0.8606111857289723)"
Steroid degradation,"('superpathway of steroid hormone biosynthesis', 0.6693273805558984)","('glucocorticoid biosynthesis', 0.6555676937524215)","('androgen biosynthesis', 0.6377092655188424)","('progesterone biosynthesis', 0.6110196519621066)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.6047374987003952)"
Metabolism of xenobiotics by cytochrome P450,"('vicianin bioactivation', 0.6651948711415858)","('pyrroloquinoline quinone biosynthesis', 0.6251535156522764)","('two-component alkanesulfonate monooxygenase', 0.625105886854366)","('tetrahydromethanopterin biosynthesis', 0.615265342800911)","('thiosulfate disproportionation II (cytochrome)', 0.6121632116443431)"
Drug metabolism - cytochrome P450,"('aerobic respiration I (cytochrome c)', 0.6187138267478898)","('superpathway of ubiquinol-8 biosynthesis (early decarboxylation)', 0.5990879733406556)","('vicianin bioactivation', 0.5982787903699571)","('tetrahydromethanopterin biosynthesis', 0.5942105934672206)","('thiosulfate disproportionation II (cytochrome)', 0.5898664099739676)"
Drug metabolism - other enzymes,"('superpathway of quinolone and alkylquinolone biosynthesis', 0.596703677786804)","('ethiin metabolism', 0.5914521541269844)","('N-glucosylnicotinate metabolism', 0.5914521541269844)","('superpathway of seleno-compound metabolism', 0.5865155466935251)","('superpathway of erythromycin biosynthesis (without sugar biosynthesis)', 0.5840662936628916)"
Overview of biosynthetic pathways,"('aspyridone A biosynthesis', 0.7677412113820035)","('backdoor pathway of androgen biosynthesis', 0.7631712365028216)","('elloramycin biosynthesis', 0.761560643996216)","('grixazone biosynthesis', 0.761560643996216)","('thalianol and derivatives biosynthesis', 0.7349045426156622)"
Biosynthesis of plant secondary metabolites,"('di-homo-&gamma;-linolenate metabolites biosynthesis', 0.7658568227951094)","('icosapentaenoate metabolites biosynthesis', 0.7658568227951094)","('DIMBOA-glucoside biosynthesis', 0.7144039389478626)","('gramine biosynthesis', 0.7144039389478626)","('peramine biosynthesis', 0.7144039389478626)"
Biosynthesis of phenylpropanoids,"('nepetalactone biosynthesis', 0.8375456922884281)","('aloenin biosynthesis', 0.8141187416017541)","('lupeol biosynthesis', 0.8141187416017541)","('phenolic malonylglucosides biosynthesis', 0.8126439188897372)","('cardenolide glucosides biosynthesis', 0.8112012093840718)"
Biosynthesis of terpenoids and steroids,"('nepetalactone biosynthesis', 0.8024629905482342)","('(-)-medicarpin biosynthesis', 0.7820572417881381)","('digitoxigenin biosynthesis', 0.7671968202918625)","('aloenin biosynthesis', 0.7580422860692877)","('lupeol biosynthesis', 0.7580422860692877)"
Biosynthesis of alkaloids derived from shikimate pathway,"('diterpene phytoalexins precursors biosynthesis', 0.7921747320443681)","('superpathway of avenacin A biosynthesis', 0.7901764390560183)","('labdenediol and sclareol biosynthesis', 0.7840279695034124)","('superpathway of linamarin and lotaustralin biosynthesis', 0.7788002307390496)","('equisetin biosynthesis', 0.7734158060257768)"
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","('hydroxycinnamic acid serotonin amides biosynthesis', 0.756703093829212)","('glycine betaine biosynthesis IV (from glycine)', 0.749250901171505)","('superpathway of aromatic amino acid biosynthesis', 0.7486565834040109)","('hydroxycinnamic acid tyramine amides biosynthesis', 0.7413814313760653)","('seleno-amino acid biosynthesis (plants)', 0.7407021932584575)"
Biosynthesis of alkaloids derived from histidine and purine,"('superpathway of histidine, purine, and pyrimidine biosynthesis', 0.76041557661918)","('tropane alkaloids biosynthesis', 0.7468303608394211)","('superpathway of flavones and derivatives biosynthesis', 0.7443506898061214)","('glucosinolate biosynthesis from phenylalanine', 0.7442392461005355)","('glucosinolate biosynthesis from tryptophan', 0.7436614809789422)"
Biosynthesis of alkaloids derived from terpenoid and polyketide,"('diterpene phytoalexins precursors biosynthesis', 0.8913226899698725)","('sesquiterpenoid phytoalexins biosynthesis', 0.8828978826561042)","('labdenediol and sclareol biosynthesis', 0.873858191448586)","('equisetin biosynthesis', 0.8599916257405399)","('lyngbyatoxin biosynthesis', 0.8599916257405399)"
Biosynthesis of plant hormones,"('ureide biosynthesis', 0.6927665278625719)","('superpathway of steroid hormone biosynthesis', 0.6779830930237444)","('DIMBOA-glucoside biosynthesis', 0.6620326004027843)","('gramine biosynthesis', 0.6620326004027843)","('peramine biosynthesis', 0.6620326004027843)"
RNA polymerase,"('mRNA capping II', 0.5194481356826783)","('tRNA splicing II', 0.510225870387426)","('misacylated tRNA editing', 0.4902611872020305)","('mRNA capping I', 0.4887542575785081)","('tRNA splicing I', 0.48183644153320004)"
Basal transcription factors,"('factor 430 biosynthesis', 0.4494997321040479)","('blood coagulation - tissue factor pathway', 0.44211963832400336)","('factor 420 polyglutamylation', 0.42072896490470724)","('superpathway of steroid hormone biosynthesis', 0.41056031673217)","('glucocorticoid biosynthesis', 0.4063188645828231)"
Spliceosome,"('tRNA splicing II', 0.5965942729843909)","('tRNA splicing I', 0.5889986203006276)","('misacylated tRNA editing', 0.559560907017361)","('pseudouridine degradation', 0.5424210383331549)","('Arg/N-end rule pathway (eukaryotic)', 0.519189879729057)"
Ribosome,"('protein Pupylation and dePupylation', 0.4385470947315973)","('L-selenocysteine biosynthesis II (archaea and eukaryotes)', 0.4213907097454618)","('cobalamin salvage (eukaryotic)', 0.420138186876787)","('tRNA-uridine 2-thiolation (mammalian mitochondria)', 0.4114845463749631)","('L-tryptophan degradation III (eukaryotic)', 0.411238134492604)"
Aminoacyl-tRNA biosynthesis,"('wybutosine biosynthesis', 0.8728238356471956)","('glutathionylspermidine biosynthesis', 0.8336215067265662)","('CDP-ascarylose biosynthesis', 0.7870895418822605)","('8-amino-7-oxononanoate biosynthesis II', 0.7852116697586632)","('archaeosine biosynthesis II', 0.7852116697586632)"
Nucleocytoplasmic transport,"('biotin-carboxyl carrier protein assembly', 0.5882880638182348)","('ceramide and sphingolipid recycling and degradation (yeast)', 0.5284793645226985)","('tRNA-uridine 2-thiolation (mammalian mitochondria)', 0.49816374356034127)","('L-glucose degradation', 0.49351531538454896)","('protective electron sinks in the thylakoid membrane (PSII to PTOX)', 0.4925326260561058)"
mRNA surveillance pathway,"('backdoor pathway of androgen biosynthesis', 0.5860909369325401)","('N-end rule pathway II (prokaryotic)', 0.5584019622009606)","('superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.5541905154522223)","('thioredoxin pathway', 0.5508238824795844)","('protein ubiquitination', 0.5504071853363487)"
Ribosome biogenesis in eukaryotes,"('L-selenocysteine biosynthesis II (archaea and eukaryotes)', 0.6915769191935928)","('diphthamide biosynthesis II (eukaryotes)', 0.6594197636164922)","('tRNA-uridine 2-thiolation (mammalian mitochondria)', 0.6566837094823981)","('superpathway of NAD biosynthesis in eukaryotes', 0.6500558035355115)","('icosapentaenoate biosynthesis I (lower eukaryotes)', 0.6224092193292994)"
Protein export,"('protein ubiquitination', 0.6305126762037436)","('protein Pupylation and dePupylation', 0.6191225286746519)","('biotin-carboxyl carrier protein assembly', 0.6170066908439849)","('protein SAMPylation and SAMP-mediated thiolation', 0.5964119755260652)","('protein NEDDylation', 0.583530650023543)"
Protein processing in endoplasmic reticulum,"('protein <i>N</i>-glycosylation processing phase (endoplasmic reticulum, yeast)', 0.7456568847558624)","('ascorbate recycling (cytosolic)', 0.5298898673776088)","('tRNA-uridine 2-thiolation (mammalian mitochondria)', 0.507922252924084)","('trehalose degradation II (cytosolic)', 0.5034542018359495)","('biotin-carboxyl carrier protein assembly', 0.4872592538045458)"
SNARE interactions in vesicular transport,"('biotin-carboxyl carrier protein assembly', 0.6640739118953582)","('ceramide and sphingolipid recycling and degradation (yeast)', 0.5905254725719179)","('protective electron sinks in the thylakoid membrane (PSII to PTOX)', 0.5579872989035691)","('ascorbate recycling (cytosolic)', 0.5549276695480972)","('mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.5460702543447746)"
Ubiquitin mediated proteolysis,"('protein ubiquitination', 0.7196713103325472)","('protein SAMPylation and SAMP-mediated thiolation', 0.6773958560248287)","('3-phosphoinositide degradation', 0.6557431571126733)","('(1,3)-&beta;-D-xylan degradation', 0.6509166867337647)","('(1,4)-&beta;-D-xylan degradation', 0.6509166867337647)"
Sulfur relay system,"('sulfur oxidation IV (intracellular sulfur)', 0.5566165906983016)","('sulfur volatiles biosynthesis', 0.527591232374485)","('sulfur reduction II (via polysulfide)', 0.5066024684325166)","('arsenite to oxygen electron transfer (via azurin)', 0.4932308042115851)","('superpathway of sulfide oxidation (phototrophic sulfur bacteria)', 0.4925047405262027)"
Proteasome,"('folate polyglutamylation', 0.3813523998223267)","('3-phosphoinositide degradation', 0.3799942008665033)","('sangivamycin biosynthesis', 0.3781568239468046)","('bryostatin biosynthesis', 0.3541572446326363)","('toyocamycin biosynthesis', 0.3541572446326363)"
RNA degradation,"('pseudouridine degradation', 0.7749704252790298)","('(1,3)-&beta;-D-xylan degradation', 0.7455853897250772)","('(1,4)-&beta;-D-xylan degradation', 0.7455853897250772)","('(2-trimethylamino)ethylphosphonate degradation', 0.7455853897250772)","('(aminomethyl)phosphonate degradation', 0.7455853897250772)"
DNA replication,"('tRNA methylation (yeast)', 0.5069474706281423)","('thymine degradation', 0.496452655268058)","('arsenite methylation (bacterial)', 0.4868709295829277)","('uracil degradation III', 0.4546453589146682)","('uracil degradation II (oxidative)', 0.4508110962740966)"
Base excision repair,"('NADH repair (eukaryotes)', 0.49748633280412485)","('NADH repair (prokaryotes)', 0.48808288369222386)","('NADPH repair (eukaryotes)', 0.4799088789651715)","('NADPH repair (prokaryotes)', 0.4687637969319251)","('pyrimidine nucleobases salvage II', 0.44192028642759595)"
Nucleotide excision repair,"('NADH repair (eukaryotes)', 0.502145950768737)","('NADH repair (prokaryotes)', 0.49424703952919796)","('NADPH repair (eukaryotes)', 0.48080893979741196)","('superpathway of purine nucleotide salvage', 0.47985938491189145)","('NADPH repair (prokaryotes)', 0.47111095849438234)"
Mismatch repair,"('NADPH repair (eukaryotes)', 0.4549603743062656)","('NADH repair (eukaryotes)', 0.45230306546486093)","('NADPH repair (prokaryotes)', 0.4412333911747292)","('NADH repair (prokaryotes)', 0.43985783820606345)","('pyrimidine nucleobases salvage II', 0.36787422966538014)"
Homologous recombination,"('NADH repair (eukaryotes)', 0.39245098790474403)","('tRNA methylation (yeast)', 0.3816152179698838)","('NADPH repair (eukaryotes)', 0.38161494628619697)","('NADH repair (prokaryotes)', 0.37232026884909575)","('tetrahydromonapterin biosynthesis', 0.3607458614440454)"
Non-homologous end-joining,"('NADH repair (eukaryotes)', 0.4437973326362434)","('NADH repair (prokaryotes)', 0.42011477100735745)","('thymine degradation', 0.4195939232751022)","('NADPH repair (eukaryotes)', 0.4170155482200599)","('NADPH repair (prokaryotes)', 0.39124112090306734)"
Fanconi anemia pathway,"('Ac/N-end rule pathway', 0.4103208939772004)","('ethylmalonyl-CoA pathway', 0.3882991521777635)","('pentose phosphate pathway', 0.38104157417352735)","('Entner-Doudoroff pathway I', 0.3791967970537133)","('pentose phosphate pathway (partial)', 0.3739849596450472)"
ATP-dependent chromatin remodeling,"('protein citrullination', 0.549129054920615)","('sophorosyloxydocosanoate deacetylation', 0.5331737866462375)","('biotin-carboxyl carrier protein assembly', 0.5202112428824122)","('protein NEDDylation', 0.5201555528555244)","('phospholipid remodeling (phosphatidate, yeast)', 0.4999596078811212)"
Polycomb repressive complex,"('protein NEDDylation', 0.5633873957280855)","('protein citrullination', 0.5523554980703843)","('sophorosyloxydocosanoate deacetylation', 0.5388108694374952)","('mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.5029681760249859)","('chitin deacetylation', 0.47598487496024244)"
Viral genome structure,"('protein Pupylation and dePupylation', 0.4834778200917416)","('tRNA methylation (yeast)', 0.4013033577728126)","('biotin-carboxyl carrier protein assembly', 0.39389925913058726)","('nucleoside and nucleotide degradation (halobacteria)', 0.3872783298218991)","('nucleoside and nucleotide degradation (archaea)', 0.38523672699543493)"
Viral replication,"('glutathione degradation (DUG pathway)', 0.3905375666798976)","('nopaline degradation', 0.38690792660440004)","('arsenite methylation (bacterial)', 0.3042309854978351)","('biotin-carboxyl carrier protein assembly', 0.2722489972056248)","('corallopyronin A biosynthesis', 0.2672534753599934)"
Viral life cycle - HIV-1,"('3-hydroxypropanoate/4-hydroxybutanate cycle', 0.5485961606311651)","('S-methyl-L-methionine cycle', 0.5485961606311651)","('&gamma;-glutamyl cycle', 0.46804897988266286)","('crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)', 0.45903886786520137)","('the visual cycle (insects)', 0.43883702354120774)"
Virion - Human immunodeficiency virus,"('glutathione degradation (DUG pathway)', 0.35835698430065616)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.30098693095580903)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.29234247260801993)","('TCA cycle VIII (Chlamydia)', 0.2871657381381382)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.28654478828641916)"
Virion - Coronavirus,"('glutathione degradation (DUG pathway)', 0.33013084226993883)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.3254782580541295)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.3169819832642779)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.3159469065233465)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.3157975704429133)"
Virion - Influenza A virus,"('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.3817534250188295)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.3801945366327451)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.3757495484813045)","('<i>Salmonella enterica</i> serotype O:4 O antigen biosynthesis (group B1)', 0.37075115972340866)","('<i>Escherichia coli</i> serotype O:111/<i>Salmonella enterica</i> serotype O:35 O antigen biosynthesis', 0.3648366447573193)"
Virion - Enterovirus,"('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.3615762724583745)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.3554559196725386)","('<i>Escherichia coli</i> serotype O:111/<i>Salmonella enterica</i> serotype O:35 O antigen biosynthesis', 0.35344391174789247)","('<i>Escherichia coli</i> serotype O:77/<i>Salmonella enterica</i> serotype O:6,14 O antigen biosynthesis', 0.35344391174789247)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.35214291256775954)"
Virion - Flavivirus,"('glutathione degradation (DUG pathway)', 0.3713665820659167)","('protein Pupylation and dePupylation', 0.32385708957062886)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.3123229321986139)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.3071857156013116)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.3069500862109958)"
Virion - Lyssavirus,"('astaxanthin biosynthesis (bacteria, fungi, algae)', 0.37816935328538437)","('pyruvate-derived opine biosynthesis II (marine invertebrates)', 0.3779734485920664)","('indole-3-acetate biosynthesis V (bacteria and fungi)', 0.36641943840041313)","('protein Pupylation and dePupylation', 0.36627522239942617)","('dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton)', 0.3639859266764955)"
Virion - Herpesvirus,"('protein Pupylation and dePupylation', 0.32563712852118826)","('glutathione degradation (DUG pathway)', 0.31941153664558447)","('TCA cycle VIII (Chlamydia)', 0.2967997889315644)","('TCA cycle VI (Helicobacter)', 0.29362861441851046)","('<i>Salmonella enterica</i> serotype O:39 O antigen biosynthesis', 0.28395710258845086)"
Virion - Orthopoxvirus,"('glutathione degradation (DUG pathway)', 0.3836323584712675)","('protein Pupylation and dePupylation', 0.37466295637889147)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.3174464576453788)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.3105268304452222)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.3043876823311047)"
Virion - Adenovirus,"('protein Pupylation and dePupylation', 0.34961935089835744)","('glutathione degradation (DUG pathway)', 0.33998929548576884)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.2927279428290076)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.28784195571199533)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.28582287727097433)"
Virion - Bacteriophage T4,"('thyroid hormone metabolism I (via deiodination)', 0.3767269158025633)","('protein Pupylation and dePupylation', 0.3511525634916371)","('tRNA-uridine 2-thiolation (thermophilic bacteria)', 0.2973259701026995)","('<i>Escherichia coli</i> serotype O:51/<i>Salmonella enterica</i> serotype O:57 O antigen biosynthesis', 0.29506705419693463)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.2948687235706879)"
ABC transporters,"('D-galactarate degradation II', 0.5137779525156233)","('D-galactarate degradation I', 0.4783491030364864)","('glycine betaine degradation II (mammalian)', 0.47332838019957646)","('glycine betaine biosynthesis III (plants)', 0.4722033488837019)","('L-phenylalanine biosynthesis III (cytosolic, plants)', 0.4691518741417008)"
Phosphotransferase system (PTS),"('sucrose degradation I (sucrose phosphotransferase)', 0.6548426540140777)","('thiamine diphosphate biosynthesis I (E. coli)', 0.5812066060443561)","('UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)', 0.5691151728425623)","('L-ascorbate biosynthesis III (D-sorbitol pathway)', 0.5668574066771503)","('ajugose biosynthesis II (galactinol-independent)', 0.5588978756831587)"
Bacterial secretion system,"('bacterial bioluminescence', 0.5210576520431761)","('alginate biosynthesis II (bacterial)', 0.512929196267117)","('ketogluconate metabolism', 0.474394779779394)","('IM-2 type &gamma;-butyrolactones biosynthesis', 0.45844198044118994)","('fungal bioluminescence', 0.4543575504078589)"
