,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Type I polyketide structures,"('sulfur reduction II (via polysulfide)', 0.54)","('incomplete reductive TCA cycle', 0.48)","('sterculate biosynthesis', 0.47)","('linezolid resistance', 0.46)","('polymyxin resistance', 0.46)"
"Biosynthesis of 12-, 14- and 16-membered macrolides","('butanol and isobutanol biosynthesis (engineered)', 0.6)","(""myxol-2' fucoside biosynthesis"", 0.6)","('spheroidene and spheroidenone biosynthesis', 0.6)","('coumarins biosynthesis (engineered)', 0.59)","('6-gingerol analog biosynthesis (engineered)', 0.58)"
Biosynthesis of ansamycins,"('ansamitocin P biosynthesis', 0.85)","('antimycin biosynthesis', 0.83)","('ascomycin biosynthesis', 0.83)","('actinomycin D biosynthesis', 0.81)","('arginomycin biosynthesis', 0.8)"
Biosynthesis of enediyne antibiotics,"('S-adenosyl-L-methionine biosynthesis', 0.67)","('ergothioneine biosynthesis I (bacteria)', 0.66)","('6-gingerol analog biosynthesis (engineered)', 0.65)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.65)","('iso-bile acids biosynthesis I', 0.65)"
Biosynthesis of type II polyketide backbone,"('aromatic polyketides biosynthesis', 0.68)","('superpathway of polyamine biosynthesis II', 0.67)","('superpathway of polyamine biosynthesis III', 0.66)","('superpathway of polyamine biosynthesis I', 0.65)","('type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)', 0.65)"
Biosynthesis of type II polyketide products,"('superpathway of polyamine biosynthesis II', 0.69)","('oleate biosynthesis I (plants)', 0.68)","('superpathway of polyamine biosynthesis III', 0.68)","('superpathway of polyamine biosynthesis I', 0.67)","('superpathway of phospholipid biosynthesis II (plants)', 0.66)"
Tetracycline biosynthesis,"('chlorotetracycline biosynthesis', 0.89)","('erinacine biosynthesis', 0.85)","('tetracenomycin C biosynthesis', 0.85)","('peramine biosynthesis', 0.83)","('strychnine biosynthesis', 0.83)"
Polyketide sugar unit biosynthesis,"('aromatic polyketides biosynthesis', 0.72)","('stigma estolide biosynthesis', 0.71)","('pederin biosynthesis', 0.7)","('scopoletin biosynthesis', 0.7)","('hesperitin glycoside biosynthesis', 0.69)"
Nonribosomal peptide structures,"('mitochondrial NADPH production (yeast)', 0.45)","('stearate biosynthesis I (animals)', 0.45)","('alazopeptin biosynthesis', 0.44)","('sterculate biosynthesis', 0.44)","('incomplete reductive TCA cycle', 0.43)"
Biosynthesis of siderophore group nonribosomal peptides,"('superpathway of carotenoid biosynthesis in plants', 0.6)","('globo-series glycosphingolipids biosynthesis', 0.59)","('A series fagopyritols biosynthesis', 0.58)","('B series fagopyritols biosynthesis', 0.58)","('hydroxylated mugineic acid phytosiderophore biosynthesis', 0.58)"
Biosynthesis of vancomycin group antibiotics,"('rifamycin B biosynthesis', 0.68)","('hygromycin B biosynthesis', 0.67)","('lincomycin A biosynthesis', 0.67)","('guadinomine B biosynthesis', 0.66)","('valinomycin biosynthesis', 0.65)"
Phenylpropanoid biosynthesis,"('free phenylpropanoid acid biosynthesis', 0.85)","('phenylethanol biosynthesis', 0.81)","('phenylphenalenone biosynthesis', 0.79)","('pheomelanin biosynthesis', 0.77)","('C20 prostanoid biosynthesis', 0.76)"
"Stilbenoid, diarylheptanoid and gingerol biosynthesis","('diacylglycerol and triacylglycerol biosynthesis', 0.67)","('paxilline and diprenylpaxilline biosynthesis', 0.67)","('pterostilbene biosynthesis', 0.64)","('serotonin and melatonin biosynthesis', 0.64)","('spheroidene and spheroidenone biosynthesis', 0.64)"
Flavonoid biosynthesis,"('flavonoid biosynthesis', 1.0)","('flavonol biosynthesis', 0.93)","('isoflavonoid biosynthesis I', 0.9)","('isoflavonoid biosynthesis II', 0.88)","('lawsone biosynthesis', 0.81)"
Flavone and flavonol biosynthesis,"('flavonol biosynthesis', 0.78)","('lupulone and humulone biosynthesis', 0.75)","('labdenediol and sclareol biosynthesis', 0.74)","('flavonoid biosynthesis', 0.73)","('wighteone and luteone biosynthesis', 0.72)"
Anthocyanin biosynthesis,"('anthocyanin biosynthesis', 1.0)","('betacyanin biosynthesis', 0.85)","('anditomin biosynthesis', 0.83)","('antimycin biosynthesis', 0.83)","('aloenin biosynthesis', 0.82)"
Isoflavonoid biosynthesis,"('isoflavonoid biosynthesis I', 0.96)","('flavonoid biosynthesis', 0.94)","('isoflavonoid biosynthesis II', 0.94)","('flavonol biosynthesis', 0.87)","('roseoflavin biosynthesis', 0.82)"
Degradation of flavonoids,"('fluorene degradation I', 0.72)","('fluorene degradation II', 0.71)","('L-galactose degradation', 0.71)","('melatonin degradation I', 0.71)","('ulvan degradation', 0.71)"
Indole alkaloid biosynthesis,"('cinchona alkaloids biosynthesis', 0.85)","('tropane alkaloids biosynthesis', 0.83)","('alkane biosynthesis I', 0.78)","('L-alanine biosynthesis I', 0.77)","('alkane biosynthesis II', 0.76)"
Indole diterpene alkaloid biosynthesis,"('tropane alkaloids biosynthesis', 0.79)","('bisbenzylisoquinoline alkaloid biosynthesis', 0.74)","('cinchona alkaloids biosynthesis', 0.72)","('terpentecin biosynthesis', 0.71)","('indole-3-acetate biosynthesis I', 0.7)"
Isoquinoline alkaloid biosynthesis,"('bisbenzylisoquinoline alkaloid biosynthesis', 0.88)","('cinchona alkaloids biosynthesis', 0.8)","('tropane alkaloids biosynthesis', 0.78)","('quinolinone B biosynthesis', 0.77)","('plastoquinol-9 biosynthesis I', 0.73)"
"Tropane, piperidine and pyridine alkaloid biosynthesis","('tropane alkaloids biosynthesis', 0.7)","('valencene and 7-epi-&alpha;-selinene biosynthesis', 0.66)","('echinomycin and triostin A biosynthesis', 0.65)","('spheroidene and spheroidenone biosynthesis', 0.65)","('<i>all-trans</i>-farnesol biosynthesis', 0.64)"
Biosynthesis of various alkaloids,"('tropane alkaloids biosynthesis', 0.79)","('cinchona alkaloids biosynthesis', 0.78)","('fusaric acid biosynthesis', 0.72)","('alkane biosynthesis I', 0.7)","('alkane biosynthesis II', 0.69)"
Caffeine metabolism,"('baicalein metabolism', 0.82)","('coniferin metabolism', 0.82)","('alliin metabolism', 0.78)","('ethiin metabolism', 0.78)","('cyanophycin metabolism', 0.73)"
Betalain biosynthesis,"('betacyanin biosynthesis', 0.91)","('betaxanthin biosynthesis', 0.89)","('aloin biosynthesis', 0.87)","('alizarin biosynthesis', 0.86)","('betulinate biosynthesis', 0.86)"
Glucosinolate biosynthesis,"('(-)-glycinol biosynthesis', 0.85)","('lupinate biosynthesis', 0.85)","('ursolate biosynthesis', 0.85)","('ricinoleate biosynthesis', 0.84)","('gallate biosynthesis', 0.83)"
Benzoxazinoid biosynthesis,"('betaxanthin biosynthesis', 0.76)","('aloenin biosynthesis', 0.74)","('aloin biosynthesis', 0.73)","('betacyanin biosynthesis', 0.73)","('alizarin biosynthesis', 0.72)"
Penicillin and cephalosporin biosynthesis,"('penicillin G and penicillin V biosynthesis', 0.77)","('cephalosporin C biosynthesis', 0.75)","('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.75)","('chlorogenic acid biosynthesis II', 0.74)","('penicillin K biosynthesis', 0.73)"
Carbapenem biosynthesis,"('casbene biosynthesis', 0.88)","('3-carene biosynthesis', 0.86)","('chlorobactene biosynthesis', 0.82)","('carrageenan biosynthesis', 0.81)","('crepenynate biosynthesis', 0.81)"
Monobactam biosynthesis,"('mycobactin biosynthesis', 0.83)","('enterobactin biosynthesis', 0.79)","('chlorobactene biosynthesis', 0.78)","('colibactin biosynthesis', 0.78)","('octopamine biosynthesis', 0.78)"
Clavulanic acid biosynthesis,"('clavulanate biosynthesis', 0.81)","('jasmonic acid biosynthesis', 0.81)","('palustric acid biosynthesis', 0.8)","('stellatic acid biosynthesis', 0.8)","('fusaric acid biosynthesis', 0.79)"
Streptomycin biosynthesis,"('streptomycin biosynthesis', 1.0)","('streptovaricin biosynthesis', 0.88)","('streptozotocin biosynthesis', 0.88)","('neomycin biosynthesis', 0.87)","('cremeomycin biosynthesis', 0.86)"
"Neomycin, kanamycin and gentamicin biosynthesis","('echinomycin and triostin A biosynthesis', 0.71)","('lincomycin A biosynthesis', 0.68)","('penicillin G and penicillin V biosynthesis', 0.68)","('gentamicin biosynthesis', 0.67)","('kanosamine biosynthesis II', 0.67)"
Acarbose and validamycin biosynthesis,"('validamycin biosynthesis', 0.79)","('rifamycin B biosynthesis', 0.72)","('valinomycin biosynthesis', 0.72)","('lincomycin A biosynthesis', 0.71)","('saframycin A biosynthesis', 0.71)"
Novobiocin biosynthesis,"('novobiocin biosynthesis', 1.0)","('clorobiocin biosynthesis', 0.89)","('doxorubicin biosynthesis', 0.85)","('violacein biosynthesis', 0.84)","('bixin biosynthesis', 0.83)"
Staurosporine biosynthesis,"('staurosporine biosynthesis', 1.0)","('neurosporene biosynthesis', 0.86)","('carnosine biosynthesis', 0.83)","('taurine biosynthesis I', 0.83)","('staphylopine biosynthesis', 0.82)"
Phenazine biosynthesis,"('peramine biosynthesis', 0.88)","('ephedrine biosynthesis', 0.86)","('erinacine biosynthesis', 0.86)","('creatine biosynthesis', 0.84)","('lupanine biosynthesis', 0.84)"
Prodigiosin biosynthesis,"('prodigiosin biosynthesis', 1.0)","('(+)-pisatin biosynthesis', 0.82)","('geosmin biosynthesis', 0.82)","('digitoxigenin biosynthesis', 0.8)","('mimosine biosynthesis', 0.8)"
Aflatoxin biosynthesis,"('aloin biosynthesis', 0.9)","('apratoxin A biosynthesis', 0.87)","('aloenin biosynthesis', 0.86)","('acacetin biosynthesis', 0.84)","('aflatrem biosynthesis', 0.84)"
Biosynthesis of various antibiotics,"('FR-900098 and FR-33289 antibiotics biosynthesis', 0.68)","('fusaric acid biosynthesis', 0.67)","('fusaridione A biosynthesis', 0.66)","('aromatic polyketides biosynthesis', 0.65)","('stellariose and mediose biosynthesis', 0.65)"
Biosynthesis of various plant secondary metabolites,"('methylhalides biosynthesis (plants)', 0.67)","('superpathway of carotenoid biosynthesis in plants', 0.62)","('oleate biosynthesis I (plants)', 0.61)","('superpathway of mycolate biosynthesis', 0.61)","('biosynthesis of Lewis epitopes (H. pylori)', 0.6)"
Biosynthesis of various other secondary metabolites,"('estradiol biosynthesis I (via estrone)', 0.62)","('superpathway of mycolate biosynthesis', 0.59)","('vitamin E biosynthesis (tocopherols)', 0.59)","('5-(methoxycarbonylmethoxy)uridine biosynthesis', 0.58)","('superpathway of ergotamine biosynthesis', 0.58)"
Benzoate degradation,"('2-chlorobenzoate degradation', 0.83)","('4-chlorobenzoate degradation', 0.83)","('benzenesulfonate degradation', 0.83)","('cyanate degradation', 0.82)","('alginate degradation', 0.8)"
Aminobenzoate degradation,"('4-aminobutanoate degradation I', 0.84)","('4-aminobutanoate degradation V', 0.84)","('carminate degradation', 0.83)","('4-aminobutanoate degradation II', 0.82)","('4-aminobutanoate degradation IV', 0.82)"
Fluorobenzoate degradation,"('fluoroacetate degradation', 0.86)","('3,4-dichlorobenzoate degradation', 0.83)","('4-nitrobenzoate degradation', 0.83)","('fluorene degradation I', 0.83)","('fluorene degradation II', 0.82)"
Chloroalkane and chloroalkene degradation,"('ethene and chloroethene degradation', 0.71)","('4-chlorocatechol degradation', 0.7)","('4-chloronitrobenzene degradation', 0.68)","('2-chlorobenzoate degradation', 0.67)","('3-chlorobenzoate degradation I (via chlorocatechol)', 0.67)"
Chlorocyclohexane and chlorobenzene degradation,"('3-chlorobenzoate degradation I (via chlorocatechol)', 0.71)","('2-chlorobenzoate degradation', 0.69)","('4-chlorobenzoate degradation', 0.69)","('chlorobenzene degradation', 0.69)","('4-chloronitrobenzene degradation', 0.66)"
Toluene degradation,"('2-nitrotoluene degradation', 0.84)","('ectoine degradation', 0.84)","('propene degradation', 0.84)","('styrene degradation', 0.84)","('fluorene degradation I', 0.83)"
Xylene degradation,"('styrene degradation', 0.86)","('L-serine degradation', 0.84)","('ectoine degradation', 0.81)","('glycine degradation', 0.81)","('juglone degradation', 0.81)"
Nitrotoluene degradation,"('2-nitrotoluene degradation', 0.96)","('4-nitrotoluene degradation I', 0.92)","('4-nitrotoluene degradation II', 0.91)","('2,4-dinitrotoluene degradation', 0.89)","('2,6-dinitrotoluene degradation', 0.89)"
Ethylbenzene degradation,"('ethylbenzene degradation (anaerobic)', 0.83)","('nitrobenzene degradation I', 0.8)","('styrene degradation', 0.79)","('thymine degradation', 0.79)","('2-methylpropene degradation', 0.78)"
Styrene degradation,"('styrene degradation', 1.0)","('isoprene degradation', 0.87)","('propene degradation', 0.84)","('thymine degradation', 0.84)","('D-serine degradation', 0.82)"
Atrazine degradation,"('atrazine degradation II', 0.93)","('atrazine degradation III', 0.91)","('carbazole degradation', 0.83)","('D-alanine degradation', 0.83)","('acetoin degradation', 0.82)"
Caprolactam degradation,"('aspartame degradation', 0.82)","('arsonoacetate degradation', 0.79)","('carbazole degradation', 0.77)","('carminate degradation', 0.77)","('acrylate degradation I', 0.76)"
Bisphenol degradation,"('bisphenol A degradation', 0.95)","('biphenyl degradation', 0.93)","('2-aminophenol degradation', 0.83)","('4-aminophenol degradation', 0.83)","('cyclohexanol degradation', 0.76)"
Dioxin degradation,"('dopamine degradation', 0.84)","('dhurrin degradation', 0.81)","('ectoine degradation', 0.81)","('orcinol degradation', 0.81)","('L-mimosine degradation', 0.8)"
Naphthalene degradation,"('naphthalene degradation (aerobic)', 0.85)","('nopaline degradation', 0.84)","('naphthalene degradation (anaerobic)', 0.82)","('terephthalate degradation', 0.79)","('nitroethane degradation', 0.78)"
Polycyclic aromatic hydrocarbon degradation,"('phenol degradation I (aerobic)', 0.62)","('(-)-dehydrodiconiferyl alcohol degradation', 0.59)","('4-ethylphenol degradation (anaerobic)', 0.59)","('phenol degradation II (anaerobic)', 0.59)","('2-hydroxybiphenyl degradation', 0.58)"
Furfural degradation,"('furfural degradation', 1.0)","('furcatin degradation', 0.8)","('urea degradation I', 0.79)","('dhurrin degradation', 0.77)","('fructan degradation', 0.77)"
Steroid degradation,"('serotonin degradation', 0.85)","('D-serine degradation', 0.82)","('L-serine degradation', 0.82)","('ectoine degradation', 0.79)","('heparin degradation', 0.79)"
Metabolism of xenobiotics by cytochrome P450,"('superpathway of chorismate metabolism', 0.57)","('acyl carrier protein metabolism', 0.56)","('superpathway of seleno-compound metabolism', 0.51)","('5-oxo-L-proline metabolism', 0.49)","('podophyllotoxin glucosides metabolism', 0.49)"
Drug metabolism - cytochrome P450,"('acyl carrier protein metabolism', 0.61)","('ketogluconate metabolism', 0.58)","('cyanophycin metabolism', 0.57)","(""6'-deoxychalcone metabolism"", 0.56)","('ecdysteroid metabolism (arthropods)', 0.56)"
Drug metabolism - other enzymes,"('acyl carrier protein metabolism', 0.57)","('ethiin metabolism', 0.57)","('gossypetin metabolism', 0.56)","('5-oxo-L-proline metabolism', 0.55)","(""6'-deoxychalcone metabolism"", 0.55)"
Overview of biosynthetic pathways,"('superpathway of butirocin biosynthesis', 0.7)","('superpathway of choline biosynthesis', 0.7)","('superpathway of neomycin biosynthesis', 0.69)","('superpathway of nicotine biosynthesis', 0.69)","('superpathway of candicidin biosynthesis', 0.67)"
Biosynthesis of plant secondary metabolites,"('methylhalides biosynthesis (plants)', 0.74)","('oleate biosynthesis I (plants)', 0.68)","('superpathway of mycolate biosynthesis', 0.68)","('superpathway of carotenoid biosynthesis in plants', 0.67)","('superpathway of choline biosynthesis', 0.66)"
Biosynthesis of phenylpropanoids,"('free phenylpropanoid acid biosynthesis', 0.86)","('phenylpropanoid biosynthesis, initial reactions', 0.77)","('phenylethanol biosynthesis', 0.76)","('C20 prostanoid biosynthesis', 0.75)","('L-phenylalanine biosynthesis I', 0.74)"
Biosynthesis of terpenoids and steroids,"('spheroidene and spheroidenone biosynthesis', 0.72)","('rotenoid biosynthesis I', 0.71)","('rotenoid biosynthesis II', 0.7)","('stellariose and mediose biosynthesis', 0.69)","('free phenylpropanoid acid biosynthesis', 0.68)"
Biosynthesis of alkaloids derived from shikimate pathway,"('superpathway of flavones and derivatives biosynthesis', 0.66)","('superpathway of acylsucrose biosynthesis (cultivated tomato)', 0.65)","('tropane alkaloids biosynthesis', 0.65)","('superpathway of bitter acids biosynthesis', 0.64)","('pyruvate-derived opine biosynthesis I (bacteria)', 0.63)"
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid","('hydroxycinnamic acid serotonin amides biosynthesis', 0.61)","('type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)', 0.58)","('2-oxoglutarate-derived opine biosynthesis', 0.56)","('L-arginine biosynthesis I (via L-ornithine)', 0.56)","('superpathway of formononetin derivative biosynthesis', 0.56)"
Biosynthesis of alkaloids derived from histidine and purine,"('2-oxoglutarate-derived opine biosynthesis', 0.62)","('pyruvate-derived opine biosynthesis I (bacteria)', 0.61)","('superpathway of flavones and derivatives biosynthesis', 0.61)","('superpathway of histidine, purine, and pyrimidine biosynthesis', 0.61)","('tropane alkaloids biosynthesis', 0.61)"
Biosynthesis of alkaloids derived from terpenoid and polyketide,"('superpathway of flavones and derivatives biosynthesis', 0.59)","('vitexin and derivatives biosynthesis', 0.59)","(""2,2'-dihydroxyketocarotenoids biosynthesis"", 0.58)","('2-oxoglutarate-derived opine biosynthesis', 0.58)","('tropane alkaloids biosynthesis', 0.58)"
Biosynthesis of plant hormones,"('ethene biosynthesis I (plants)', 0.79)","('homofuraneol biosynthesis', 0.76)","('L-homoserine biosynthesis', 0.76)","('thyroid hormone biosynthesis', 0.76)","('phytosterol biosynthesis (plants)', 0.75)"
RNA polymerase,"('tRNA processing', 0.55)","('fungal bioluminescence', 0.5)","('superpathway of lipoxygenase', 0.48)","('polymyxin resistance', 0.47)","('perchlorate reduction', 0.46)"
Basal transcription factors,"('factor 420 polyglutamylation', 0.51)","('folate transformations I', 0.51)","('folate transformations II (plants)', 0.51)","('nitrate reduction V (assimilatory)', 0.51)","('butachlor degradation', 0.5)"
Spliceosome,"('phospholipases', 0.48)","('asperlicin E biosynthesis', 0.44)","('cellulose biosynthesis', 0.42)","('ribose phosphorylation', 0.42)","('aspyridone A biosynthesis', 0.39)"
Ribosome,"('coniferin metabolism', 0.43)","('dopamine degradation', 0.43)","('isoprene degradation', 0.43)","('alizarin biosynthesis', 0.41)","('histamine degradation', 0.41)"
Aminoacyl-tRNA biosynthesis,"('benzoyl-CoA biosynthesis', 0.75)","('acinetobactin biosynthesis', 0.72)","('actinomycin D biosynthesis', 0.72)","('stearate biosynthesis I (animals)', 0.72)","('aloin biosynthesis', 0.71)"
Nucleocytoplasmic transport,"('folate transformations I', 0.51)","('folate transformations II (plants)', 0.51)","('folate transformations III (<i>E. coli</i>)', 0.5)","('tRNA-uridine 2-thiolation (cytoplasmic)', 0.5)","('tRNA methylation (yeast)', 0.45)"
mRNA surveillance pathway,"('thioredoxin pathway', 0.55)","('Ac/N-end rule pathway', 0.52)","('pentose phosphate pathway (partial)', 0.52)","('superpathway of trimethylamine degradation', 0.51)","('mevalonate pathway III (Thermoplasma)', 0.5)"
Ribosome biogenesis in eukaryotes,"('icosapentaenoate biosynthesis I (lower eukaryotes)', 0.67)","('diphthamide biosynthesis II (eukaryotes)', 0.62)","('phosphatidylinositol biosynthesis II (eukaryotes)', 0.62)","('superpathway of NAD biosynthesis in eukaryotes', 0.61)","('leukotriene biosynthesis', 0.6)"
Protein export,"('protein NEDDylation', 0.61)","('protectin biosynthesis', 0.5)","('protein citrullination', 0.5)","('propene degradation', 0.48)","('valproate &beta;-oxidation', 0.47)"
Protein processing in endoplasmic reticulum,"('protein <i>N</i>-glycosylation processing phase (endoplasmic reticulum, yeast)', 0.75)","('protein <i>S</i>-nitrosylation and denitrosylation', 0.51)","('protein <i>N</i>-glycosylation processing phase (plants and animals)', 0.49)","('protein <I>O</i>-mannosylation I (yeast)', 0.49)","('protein <i>O</i>-glycosylation (Neisseria)', 0.48)"
SNARE interactions in vesicular transport,"('5-nitroanthranilate degradation', 0.5)","('chitin degradation III (Serratia)', 0.5)","('vestitol and sativan biosynthesis', 0.49)","('2,4-dinitroanisole degradation', 0.48)","('arsenite to oxygen electron transfer (via azurin)', 0.48)"
Ubiquitin mediated proteolysis,"('protein ubiquitination', 0.62)","('4-aminobenzoate biosynthesis III', 0.52)","('indole-3-acetate biosynthesis II', 0.52)","('4-aminobenzoate biosynthesis II', 0.49)","('indole-3-acetate biosynthesis I', 0.49)"
Sulfur relay system,"('sulfur reduction I', 0.49)","('sulfur reduction III', 0.46)","('sulfur oxidation IV (intracellular sulfur)', 0.44)","('heparan sulfate degradation', 0.43)","('sulfoquinovose degradation I', 0.43)"
Proteasome,"('lawsone biosynthesis', 0.47)","('lipoate salvage I', 0.44)","('protein ubiquitination', 0.44)","('&alpha;-tomatine biosynthesis', 0.43)","('lipoate salvage II', 0.43)"
RNA degradation,"('rutin degradation', 0.88)","('urea degradation I', 0.85)","('syringate degradation', 0.83)","('dhurrin degradation', 0.82)","('fructan degradation', 0.82)"
DNA replication,"('photorespiration I', 0.61)","('photorespiration II', 0.59)","('galena oxidation', 0.58)","('alanine racemization', 0.57)","('photorespiration III', 0.57)"
Base excision repair,"('arsenate reduction (respiratory)', 0.6)","('arsenic detoxification (yeast)', 0.54)","('arsenate detoxification I', 0.53)","('arsenic detoxification (plants)', 0.53)","('arsenate detoxification II', 0.52)"
Nucleotide excision repair,"('purine nucleotides degradation II (aerobic)', 0.57)","('purine deoxyribonucleosides salvage', 0.56)","('purine nucleotides degradation I (plants)', 0.55)","('pyrimidine deoxyribonucleotides dephosphorylation', 0.53)","('adenosine nucleotides degradation I', 0.52)"
Mismatch repair,"('NADH repair (eukaryotes)', 0.54)","('NADPH repair (eukaryotes)', 0.53)","('carminate degradation', 0.44)","('methiin metabolism', 0.42)","('NADH repair (prokaryotes)', 0.42)"
Homologous recombination,"('chlorate reduction', 0.52)","('photorespiration I', 0.52)","('photorespiration II', 0.51)","('alanine racemization', 0.5)","('chlorpyrifos degradation', 0.5)"
Non-homologous end-joining,"('pyrroloquinoline quinone biosynthesis', 0.44)","('guanine and guanosine salvage I', 0.42)","('hemoglobin degradation', 0.42)","('homocysteine and cysteine interconversion', 0.42)","('serotonin and melatonin biosynthesis', 0.42)"
Fanconi anemia pathway,"('mevalonate pathway IV (archaea)', 0.59)","('ethylmalonyl-CoA pathway', 0.57)","('Ac/N-end rule pathway', 0.56)","('mevalonate pathway II (haloarchaea)', 0.55)","('superpathway of methanogenesis', 0.54)"
ATP-dependent chromatin remodeling,"('arginine dependent acid resistance', 0.56)","('nitrite-dependent anaerobic methane oxidation', 0.53)","('formaldehyde oxidation V (bacillithiol-dependent)', 0.52)","('L-cysteine biosynthesis II (tRNA-dependent)', 0.51)","('10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)', 0.5)"
Polycomb repressive complex,"('polymyxin resistance', 0.47)","('linezolid resistance', 0.43)","('NADPH repair (prokaryotes)', 0.43)","('polyisoprenoid biosynthesis (<i>E. coli</i>)', 0.43)","('incomplete reductive TCA cycle', 0.42)"
Viral genome structure,"('arsenate reduction (respiratory)', 0.5)","('incomplete reductive TCA cycle', 0.5)","('the visual cycle (insects)', 0.48)","('sulfur reduction II (via polysulfide)', 0.46)","('formate to nitrite electron transfer', 0.45)"
Viral replication,"('urea degradation I', 0.57)","('hydrogen production VI', 0.56)","('serine racemization', 0.56)","('uracil degradation III', 0.56)","('urea degradation II', 0.56)"
Viral life cycle - HIV-1,"('the visual cycle (insects)', 0.57)","('TCA cycle VI (Helicobacter)', 0.55)","('vitamin K-epoxide cycle', 0.53)","('the visual cycle II (molluscs)', 0.52)","('reductive TCA cycle I', 0.51)"
Virion - Human immunodeficiency virus,"('antimycin biosynthesis', 0.46)","('cyanide detoxification I', 0.44)","('formaldehyde oxidation IV (thiol-independent)', 0.44)","('penicillin G and penicillin V biosynthesis', 0.44)","('arsenate detoxification I', 0.43)"
Virion - Coronavirus,"('vibriobactin biosynthesis', 0.51)","('chlorate reduction', 0.5)","('cytokinins degradation', 0.5)","('gluconeogenesis III', 0.49)","('chitin degradation II (Vibrio)', 0.48)"
Virion - Influenza A virus,"('4-aminobenzoate biosynthesis I', 0.48)","('benzoate degradation I (aerobic)', 0.48)","('pyruvate fermentation to (<i>S</i>)-acetoin', 0.48)","('UDP-sugars interconversion', 0.48)","('4-aminobenzoate biosynthesis II', 0.47)"
Virion - Enterovirus,"('vibriobactin biosynthesis', 0.56)","('daphnin interconversion', 0.54)","('viridicatin biosynthesis', 0.52)","('brassinosteroids inactivation', 0.51)","('cichoriin interconversion', 0.51)"
Virion - Flavivirus,"('folate transformations I', 0.49)","('vibriobactin biosynthesis', 0.48)","('vicianin bioactivation', 0.46)","('folate transformations II (plants)', 0.45)","('agarose degradation', 0.44)"
Virion - Lyssavirus,"('vibriobactin biosynthesis', 0.52)","('viridicatin biosynthesis', 0.49)","('viridicatumtoxin biosynthesis', 0.48)","('dicranin biosynthesis', 0.47)","('glycolysis IV', 0.47)"
Virion - Herpesvirus,"('vibriobactin biosynthesis', 0.56)","('triclosan resistance', 0.53)","('viridicatin biosynthesis', 0.52)","('dicranin biosynthesis', 0.51)","('viridicatumtoxin biosynthesis', 0.51)"
Virion - Orthopoxvirus,"('vibriobactin biosynthesis', 0.53)","('mycothiol oxidation', 0.51)","('viridicatin biosynthesis', 0.5)","('dicranin biosynthesis', 0.49)","('piperine biosynthesis', 0.49)"
Virion - Adenovirus,"('galena oxidation', 0.48)","('vibriobactin biosynthesis', 0.48)","('daphnin interconversion', 0.45)","('bile acids epimerization', 0.44)","('chitin degradation II (Vibrio)', 0.44)"
Virion - Bacteriophage T4,"('pyruvate fermentation to acetate VII', 0.54)","('pyruvate fermentation to acetate VIII', 0.53)","('pyruvate fermentation to acetate VI', 0.52)","('bacterioruberin biosynthesis', 0.51)","('bacterial bioluminescence', 0.5)"
ABC transporters,"('folate transformations I', 0.55)","('atranorin biosynthesis', 0.53)","('acetan biosynthesis', 0.51)","('testosterone degradation (anaerobic)', 0.48)","('protein citrullination', 0.47)"
Phosphotransferase system (PTS),"('sucrose degradation I (sucrose phosphotransferase)', 0.62)","('phospholipases', 0.51)","('sedoheptulose bisphosphate bypass', 0.48)","('sucrose degradation IV (sucrose phosphorylase)', 0.47)","('malate/L-aspartate shuttle pathway', 0.44)"
Bacterial secretion system,"('dermatan sulfate degradation I (bacterial)', 0.61)","('L-dopa degradation II (bacterial)', 0.6)","('bacterial bioluminescence', 0.59)","('(S,S)-butanediol degradation', 0.58)","('chondroitin sulfate degradation I (bacterial)', 0.58)"
Two-component system,"('two-component alkanesulfonate monooxygenase', 0.51)","('pyruvate fermentation to acetoin', 0.5)","('pyruvate fermentation to acetone', 0.5)","('pyruvate fermentation to acetate I', 0.44)","('pyruvate fermentation to acetate II', 0.44)"
MAPK signaling pathway,"('phytol salvage pathway', 0.55)","('thioredoxin pathway', 0.54)","('farnesylcysteine salvage pathway', 0.52)","('Ac/N-end rule pathway', 0.51)","('NAD salvage pathway V (PNC V cycle)', 0.51)"
MAPK signaling pathway - fly,"('farnesylcysteine salvage pathway', 0.55)","('NAD salvage pathway V (PNC V cycle)', 0.54)","('NAD salvage pathway I (PNC VI cycle)', 0.53)","('NAD salvage pathway II (PNC IV cycle)', 0.52)","('nicotinate riboside salvage pathway I', 0.51)"
MAPK signaling pathway - plant,"('phytol salvage pathway', 0.6)","('NAD salvage pathway V (PNC V cycle)', 0.56)","('NAD salvage pathway I (PNC VI cycle)', 0.55)","('NAD salvage pathway II (PNC IV cycle)', 0.54)","('pentose phosphate pathway', 0.53)"
MAPK signaling pathway - yeast,"('phytol salvage pathway', 0.52)","('farnesylcysteine salvage pathway', 0.5)","('Ac/N-end rule pathway', 0.49)","('NAD salvage pathway V (PNC V cycle)', 0.49)","('nicotinate riboside salvage pathway I', 0.49)"
